"montant_frais_id","promotion_id","type_frais_id","montant"
191,114,2,"120000.00"
192,114,4,"5000.00"
193,115,1,"25000.00"
194,115,2,"120000.00"
195,115,4,"5000.00"
196,116,1,"20000.00"
197,116,2,"70000.00"
198,116,3,"40000.00"
199,117,1,"20000.00"
200,117,2,"70000.00"
201,117,3,"40000.00"
202,118,1,"20000.00"
203,118,2,"70000.00"
204,118,3,"40000.00"
205,119,1,"20000.00"
206,119,2,"70000.00"
207,119,4,"5000.00"
208,120,1,"20000.00"
209,120,2,"70000.00"
210,120,4,"5000.00"
211,121,1,"20000.00"
212,121,2,"70000.00"
213,121,4,"5000.00"
214,122,1,"20000.00"
215,122,2,"70000.00"
216,122,3,"50000.00"
217,123,1,"20000.00"
218,123,2,"70000.00"
219,123,3,"50000.00"
220,124,1,"20000.00"
221,124,2,"70000.00"
222,124,3,"50000.00"
223,125,1,"20000.00"
224,125,2,"70000.00"
225,125,4,"5000.00"
226,126,1,"20000.00"
227,126,2,"70000.00"
228,126,4,"5000.00"
229,127,1,"20000.00"
230,127,2,"70000.00"
231,127,4,"5000.00"
232,128,1,"20000.00"
233,128,2,"70000.00"
234,128,4,"5000.00"
235,129,1,"20000.00"
236,129,2,"70000.00"
237,129,4,"5000.00"
238,130,1,"20000.00"
239,130,2,"70000.00"
240,130,4,"5000.00"
241,131,1,"20000.00"
242,131,2,"70000.00"
243,131,4,"5000.00"
244,132,1,"20000.00"
245,132,2,"70000.00"
246,132,4,"5000.00"
247,133,1,"20000.00"
248,133,2,"70000.00"
249,133,4,"5000.00"
250,134,1,"30000.00"
251,134,2,"150000.00"
252,134,3,"50000.00"
253,134,4,"5000.00"
254,134,5,"10000.00"
255,135,1,"20000.00"
256,135,2,"90000.00"
257,135,4,"5000.00"
258,136,1,"20000.00"
259,136,2,"150000.00"
260,136,3,"50000.00"
261,136,4,"5000.00"
262,136,5,"10000.00"
263,137,1,"20000.00"
264,137,2,"150000.00"
265,137,3,"50000.00"
266,137,4,"5000.00"
267,137,5,"10000.00"
268,138,1,"20000.00"
269,138,2,"150000.00"
270,138,3,"50000.00"
271,138,4,"5000.00"
272,138,5,"10000.00"
273,139,1,"20000.00"
274,139,2,"70000.00"
275,139,4,"5000.00"
276,140,1,"20000.00"
277,140,2,"70000.00"
278,140,4,"5000.00"
279,141,1,"20000.00"
280,141,2,"70000.00"
281,141,4,"5000.00"
282,142,1,"20000.00"
283,142,2,"70000.00"
284,142,4,"5000.00"
285,143,1,"20000.00"
286,143,2,"70000.00"
287,143,4,"5000.00"
