transaction_id,date,region_id,prefecture_id,agence_id,produit_id,quantite,montant_total
115,2/1/2022,3,3,3,18,2,56.99
116,5/4/2024,2,17,17,10,1,41.66
117,11/10/2023,5,6,6,7,2,427.25
118,5/30/2025,2,7,7,5,3,215.83
119,2/19/2023,2,40,40,8,1,93.23
120,6/3/2025,2,25,25,5,4,261.74
121,8/4/2022,2,24,24,16,4,114.27
122,11/23/2023,5,10,10,3,1,96.5
123,9/9/2022,3,20,20,3,4,379.55
124,4/20/2024,5,6,6,4,4,496.25
125,11/14/2023,2,24,24,6,3,456.88
126,10/18/2024,2,25,25,16,2,65.61
127,7/3/2022,2,25,25,13,2,291.12
128,2/28/2023,2,24,24,4,3,343.61
129,12/30/2022,2,40,40,2,5,361.47
130,5/12/2025,2,17,17,7,1,214.98
131,5/5/2022,1,31,31,5,1,69.63
132,1/7/2023,2,37,37,9,5,405.3
133,7/21/2024,2,25,25,10,5,249.71
134,7/21/2023,5,13,13,17,1,81.18
135,10/26/2023,2,24,24,2,4,323.91
136,12/4/2023,5,21,21,4,5,594.77
137,12/16/2022,5,6,6,14,3,626.13
138,9/27/2023,2,8,8,6,3,518.62
139,3/24/2025,2,40,40,14,2,335.37
140,2/28/2024,3,28,28,7,4,933.83
141,4/18/2023,2,1,1,9,1,83.84
142,8/7/2024,2,39,39,17,1,96.78
143,12/6/2022,3,18,18,5,2,123.9
144,9/24/2024,2,40,40,7,5,953.84
145,7/8/2024,5,13,13,14,2,303.54
146,3/4/2023,2,37,37,2,4,353.89
147,12/16/2024,2,24,24,2,5,452.55
148,11/5/2022,2,8,8,12,4,233.97
149,3/29/2023,2,40,40,1,2,404.96
150,10/10/2023,5,21,21,2,5,439.17
151,6/29/2022,5,10,10,9,2,149.95
152,3/22/2023,2,25,25,8,2,222.79
153,4/20/2024,5,13,13,13,4,725.54
154,3/9/2023,2,24,24,16,4,123.03
155,11/19/2024,2,8,8,3,1,85.52
156,10/28/2021,2,39,39,2,2,174.31
157,2/27/2022,2,39,39,9,1,64.09
158,7/16/2024,2,8,8,6,5,852.8
159,4/30/2022,2,40,40,10,4,159.48
160,11/2/2022,2,17,17,9,3,235.34
161,5/25/2022,2,1,1,4,2,291.14
162,5/14/2022,1,11,11,10,2,102.71
163,2/10/2022,2,39,39,13,4,672.91
164,5/30/2025,3,22,22,11,5,989.04
165,9/16/2021,2,24,24,10,1,47.83
166,3/17/2022,2,37,37,13,2,320.08
167,5/3/2023,2,37,37,13,4,700.15
168,4/11/2023,2,1,1,10,1,45.39
169,10/17/2021,5,10,10,5,2,158.42
170,1/22/2024,2,1,1,12,3,186.05
171,10/30/2024,2,7,7,8,5,469.55
172,9/16/2021,2,39,39,12,4,197.97
173,11/28/2021,5,15,15,7,1,226.21
174,4/16/2022,2,25,25,17,4,401.5
175,8/16/2025,2,1,1,13,1,185.89
176,9/23/2024,2,39,39,13,4,604.71
177,10/26/2022,5,21,21,5,3,227.16
178,7/5/2023,2,25,25,15,2,309.96
179,4/29/2022,2,40,40,17,5,369.48
180,8/15/2023,2,1,1,9,4,355.86
181,3/26/2022,5,21,21,7,3,684.52
182,6/5/2024,5,19,19,7,1,175.47
183,10/24/2023,2,25,25,18,1,25.37
184,9/11/2024,2,25,25,10,3,115.04
185,12/24/2022,5,19,19,5,3,233.6
186,2/21/2025,2,40,40,11,4,649.85
187,2/15/2023,5,15,15,16,3,78.78
188,10/6/2022,2,24,24,6,3,462.91
189,8/8/2022,5,15,15,16,3,67.13
190,9/10/2025,2,1,1,7,3,706.74
191,6/23/2022,2,1,1,14,1,180.61
192,1/11/2025,2,24,24,13,4,612.78
193,6/5/2022,1,34,34,15,4,445.8
194,10/22/2022,3,3,3,14,5,969.36
195,5/12/2025,4,29,29,8,4,384.79
196,10/18/2024,2,1,1,16,4,96.58
197,3/5/2023,4,33,33,9,4,271.03
198,6/9/2022,5,10,10,5,1,80.4
199,12/24/2024,2,39,39,14,2,291.72
200,4/7/2023,2,7,7,11,3,443.77
201,7/11/2023,2,17,17,2,3,265.11
202,11/26/2024,2,17,17,2,3,201.02
203,8/31/2024,2,24,24,15,2,270.88
204,11/26/2024,2,7,7,5,5,395.41
205,4/16/2022,2,37,37,9,3,190.78
206,6/21/2024,4,36,36,7,5,1073.53
207,8/15/2022,2,37,37,3,4,379.07
208,3/26/2024,1,31,31,6,2,351.87
209,10/12/2022,2,25,25,11,4,745.8
210,12/13/2021,2,1,1,14,4,827.99
211,4/26/2025,2,25,25,5,2,177.05
212,7/13/2024,2,17,17,10,2,71.61
213,5/22/2023,5,6,6,11,3,603.21
214,12/24/2024,5,15,15,1,4,744.04
215,5/5/2022,3,4,4,14,4,838.88
216,7/30/2025,2,8,8,4,2,253.73
217,6/29/2024,2,39,39,2,5,429.38
218,8/25/2023,5,15,15,15,1,124.86
219,5/17/2022,5,9,9,1,4,757.15
220,9/9/2022,2,1,1,7,4,880.17
221,12/15/2021,3,18,18,3,5,458.01
222,9/17/2024,2,8,8,3,2,213.83
223,5/8/2023,2,37,37,6,1,194.16
224,2/12/2024,4,12,12,5,5,349
225,3/16/2023,5,6,6,13,4,584.28
226,7/25/2023,5,21,21,14,5,890.49
227,1/3/2022,5,15,15,16,5,134.8
228,8/10/2024,2,17,17,13,3,481.95
229,11/14/2021,5,19,19,16,2,57.14
230,7/2/2025,2,39,39,17,1,67.52
231,8/10/2023,2,17,17,11,5,963.3
232,1/19/2023,2,17,17,14,5,721.77
233,10/10/2022,2,7,7,18,1,22.07
234,1/18/2025,2,8,8,7,2,413.72
235,8/1/2025,5,13,13,3,2,232.92
236,5/22/2022,2,39,39,16,2,55.77
237,3/3/2024,2,40,40,1,2,417.33
238,9/28/2022,5,10,10,9,3,263.63
239,10/9/2023,5,10,10,1,5,809.26
240,12/27/2021,2,25,25,9,2,149.49
241,8/31/2023,1,35,35,1,2,406.49
242,10/4/2023,5,19,19,3,1,103.63
243,3/15/2023,2,40,40,9,1,78.68
244,2/26/2024,2,24,24,13,3,498.13
245,5/16/2024,2,40,40,7,3,607.39
246,9/28/2022,4,12,12,5,5,323.34
247,3/9/2024,2,1,1,5,5,398.13
248,10/9/2022,2,17,17,9,2,141.12
249,10/24/2023,5,13,13,16,3,79.06
250,3/16/2022,2,40,40,10,1,46.74
251,9/14/2024,2,24,24,13,3,540.46
252,8/23/2024,2,39,39,9,3,246.08
253,5/7/2023,1,32,32,16,5,149.83
254,1/22/2024,5,10,10,1,1,162.1
255,7/16/2023,1,32,32,6,3,551.23
256,1/15/2024,2,37,37,3,1,101.46
257,9/26/2023,2,7,7,18,5,126.42
258,9/24/2023,1,31,31,1,4,657.15
259,9/4/2022,2,25,25,11,5,837.57
260,5/24/2023,5,21,21,4,4,617.64
261,8/10/2024,2,25,25,17,4,305.52
262,6/7/2025,5,6,6,11,1,141.18
263,6/25/2022,2,17,17,15,3,418.26
264,5/26/2024,2,7,7,16,1,27.89
265,2/18/2025,3,26,26,1,2,374.8
266,6/2/2025,2,25,25,8,3,273.12
267,12/16/2023,5,13,13,3,2,169.16
268,6/29/2023,2,24,24,16,5,137.76
269,8/27/2025,2,40,40,5,5,358.49
270,1/1/2024,2,8,8,4,2,274.61
271,6/29/2022,2,39,39,4,3,385.3
272,4/26/2024,2,1,1,14,5,740
273,8/22/2024,5,6,6,14,2,334.64
274,11/3/2022,5,19,19,4,2,265.03
275,8/17/2022,2,25,25,15,2,241.94
276,8/22/2024,4,33,33,4,4,479.51
277,2/9/2025,5,9,9,3,2,169.07
278,11/13/2021,2,7,7,2,5,357.58
279,12/31/2022,5,10,10,10,5,202.2
280,11/19/2024,1,11,11,10,1,50.43
281,4/19/2024,2,7,7,8,2,217.76
282,6/29/2025,2,37,37,12,5,351.13
283,1/13/2025,5,6,6,4,3,353.21
284,12/13/2021,2,39,39,14,3,608.99
285,1/20/2025,2,40,40,4,3,432.64
286,7/27/2022,5,9,9,8,5,577.95
287,1/11/2025,2,37,37,10,5,206.23
288,10/17/2022,3,5,5,6,4,649.26
289,9/29/2022,3,16,16,12,2,119.99
290,3/13/2022,2,25,25,2,4,391.62
291,3/17/2024,2,25,25,7,5,1082.4
292,5/5/2022,1,35,35,2,2,194.46
293,1/26/2025,2,17,17,14,1,210.69
294,2/15/2025,2,40,40,1,5,1038.5
295,4/20/2025,2,17,17,5,4,327.84
296,12/16/2024,2,8,8,2,2,149.12
297,2/26/2022,5,9,9,16,3,78.92
298,2/20/2022,4,29,29,4,1,132.25
299,11/1/2023,1,11,11,8,5,459.84
300,10/16/2022,2,37,37,8,2,181.56
301,2/23/2024,2,7,7,7,5,959.94
302,9/8/2025,1,11,11,18,3,60.53
303,6/30/2023,2,39,39,5,4,248.01
304,3/21/2025,5,13,13,5,5,302.99
305,7/12/2023,5,9,9,14,2,316.22
306,4/28/2022,5,9,9,11,3,468.36
307,3/31/2023,1,31,31,6,5,929.8
308,9/29/2022,2,8,8,15,2,243.64
309,10/26/2023,2,24,24,2,3,248.26
310,6/24/2023,2,8,8,3,4,335.37
311,3/13/2022,2,17,17,6,2,379.29
312,4/21/2023,2,17,17,2,2,192.77
313,12/1/2023,5,15,15,8,5,559.61
314,5/12/2025,5,9,9,18,3,87.5
315,2/14/2024,2,7,7,11,5,932.23
316,3/9/2022,2,1,1,12,1,59.1
317,7/5/2023,2,7,7,6,1,172.33
318,9/7/2024,2,1,1,12,1,50.26
319,12/6/2024,5,19,19,10,1,46.84
320,12/11/2021,5,13,13,6,1,149.03
321,4/12/2022,2,7,7,12,3,187.78
322,6/14/2022,2,40,40,2,3,259.8
323,8/18/2023,2,24,24,17,3,228
324,4/9/2024,3,20,20,14,5,786.1
325,3/29/2023,2,8,8,10,4,140.08
326,6/30/2025,2,39,39,14,4,771.06
327,8/12/2022,5,6,6,5,1,73.37
328,1/22/2025,2,7,7,2,5,463.08
329,1/6/2024,3,18,18,14,5,950.49
330,11/4/2021,5,19,19,1,5,932.07
331,6/30/2024,5,13,13,2,3,283.9
332,5/18/2023,1,34,34,7,5,1134.54
333,3/14/2023,1,35,35,10,2,95.85
334,12/3/2024,2,39,39,16,4,92.88
335,8/24/2025,5,13,13,2,1,76.35
336,8/3/2022,2,8,8,14,3,554.76
337,5/25/2025,1,11,11,15,3,436.74
338,8/26/2022,2,25,25,18,5,134.96
339,3/30/2023,5,10,10,14,2,407.65
340,1/9/2023,2,24,24,4,1,125.89
341,5/26/2023,2,1,1,11,4,735.12
342,7/21/2025,1,34,34,12,4,226.97
343,4/11/2024,2,39,39,17,2,170.19
344,3/3/2023,2,1,1,8,4,347.01
345,1/18/2023,3,16,16,11,3,450.52
346,6/19/2023,4,36,36,10,3,138.54
347,8/1/2024,4,36,36,9,2,182.73
348,11/5/2021,5,6,6,14,1,190.84
349,9/23/2024,3,22,22,3,4,360.42
350,11/1/2022,5,21,21,5,1,74.38
351,2/1/2024,2,8,8,7,5,1078.81
352,6/21/2024,5,21,21,7,5,876.23
353,9/13/2023,3,4,4,1,5,1046.64
354,7/18/2024,2,17,17,9,2,126.52
355,1/23/2022,5,10,10,13,1,125.5
356,3/1/2025,2,40,40,12,1,68.31
357,8/2/2025,2,39,39,14,3,445.66
358,10/13/2023,5,19,19,10,1,43.68
359,10/28/2023,2,25,25,3,1,100.06
360,3/25/2024,2,17,17,17,5,416.23
361,10/8/2022,2,39,39,8,4,450.33
362,1/22/2023,1,34,34,10,5,192.98
363,1/26/2023,4,36,36,1,3,565.69
364,12/15/2022,5,19,19,6,1,177.22
365,5/24/2022,2,37,37,3,4,339.18
366,1/13/2025,5,9,9,1,3,452.6
367,2/15/2022,2,40,40,16,2,58.47
368,5/25/2024,2,40,40,15,2,295.79
369,12/26/2021,1,11,11,7,4,939.67
370,12/9/2022,2,24,24,8,2,215.39
371,1/2/2024,5,13,13,5,4,275.33
372,2/17/2024,2,7,7,9,2,177.67
373,12/26/2021,2,24,24,5,4,337.71
374,11/4/2023,1,34,34,12,5,351.87
375,11/24/2024,3,20,20,17,1,74.44
376,5/27/2025,2,1,1,3,2,219.44
377,3/12/2024,2,8,8,6,2,376.18
378,7/17/2025,2,40,40,13,2,369.8
379,1/25/2023,2,40,40,7,3,550.39
380,2/12/2022,2,39,39,16,1,26.46
381,10/27/2021,5,9,9,8,3,318.39
382,8/22/2022,2,37,37,8,5,561.89
383,4/28/2024,2,40,40,4,5,577.23
384,6/13/2023,2,7,7,14,2,413.52
385,10/15/2023,2,37,37,16,2,55.99
386,1/2/2022,5,21,21,14,4,811.57
387,12/9/2021,2,7,7,4,4,469.44
388,12/23/2023,2,8,8,3,3,274.82
389,9/17/2021,2,25,25,1,4,787.8
390,3/6/2025,2,8,8,11,1,181.57
391,7/11/2025,5,10,10,5,5,349.52
392,7/11/2024,2,1,1,9,2,161.22
393,4/6/2024,2,24,24,6,5,801.6
394,3/29/2022,2,17,17,16,5,157.69
395,4/4/2024,2,8,8,15,3,389.93
396,4/4/2022,5,15,15,18,5,112.89
397,1/7/2022,5,19,19,4,5,625.02
398,7/2/2024,4,27,27,11,4,611.92
399,10/8/2022,2,40,40,17,4,299.6
400,8/16/2023,5,15,15,5,4,299.7
401,1/15/2025,2,25,25,8,5,430.56
402,1/23/2022,2,7,7,16,5,133.36
403,10/8/2022,2,1,1,5,2,161.54
404,9/26/2021,5,13,13,13,4,697.22
405,2/9/2023,2,24,24,11,3,584.5
406,4/11/2023,2,17,17,14,4,730.21
407,5/10/2023,2,39,39,7,2,439.38
408,6/13/2025,2,25,25,9,2,140.08
409,12/6/2021,2,1,1,15,4,480.38
410,6/30/2024,2,17,17,15,3,448.33
411,10/16/2023,5,21,21,7,3,566.66
412,11/8/2021,1,31,31,5,3,252.94
413,7/21/2022,2,40,40,18,4,103.19
414,1/22/2022,2,7,7,9,3,201.58
415,5/20/2023,2,40,40,3,1,88.53
416,12/21/2023,5,13,13,2,3,224.34
417,9/1/2025,5,19,19,10,5,230.71
418,2/22/2024,5,6,6,5,1,88.47
419,5/30/2023,2,37,37,8,1,87.96
420,1/30/2025,2,8,8,17,3,212.82
421,4/13/2025,2,17,17,1,3,541.62
422,1/21/2025,2,40,40,4,5,651.41
423,8/2/2024,5,21,21,18,1,24.55
424,1/8/2022,3,22,22,9,4,332.47
425,6/22/2022,5,21,21,1,1,175.71
426,1/31/2023,3,28,28,2,5,454.88
427,9/29/2024,2,24,24,18,1,23.74
428,10/3/2022,2,37,37,9,1,85
429,9/5/2024,5,10,10,7,2,428.12
430,1/3/2023,2,7,7,7,5,994.69
431,8/29/2024,2,7,7,12,2,117.92
432,1/2/2022,5,19,19,18,2,56.39
433,12/29/2023,5,19,19,13,5,870.68
434,11/24/2023,2,25,25,8,3,249.55
435,2/21/2023,3,14,14,12,1,51.6
436,7/1/2025,5,10,10,5,3,213.29
437,4/1/2025,2,39,39,4,3,447.88
438,9/14/2022,3,4,4,6,4,662.74
439,1/21/2025,2,8,8,3,3,264.74
440,11/16/2023,2,17,17,1,5,1052.86
441,12/6/2023,2,39,39,15,1,125.46
442,8/24/2025,2,17,17,3,1,82.1
443,2/11/2025,5,10,10,10,4,157.16
444,9/27/2022,5,21,21,9,2,172.99
445,1/13/2024,5,15,15,6,1,168.44
446,11/22/2024,3,38,38,17,3,272.94
447,2/14/2024,3,22,22,18,1,21.98
448,2/4/2022,2,8,8,2,4,299.3
449,3/25/2024,2,40,40,18,2,56.83
450,8/4/2023,1,31,31,9,2,148.33
451,3/7/2022,2,39,39,10,2,99.89
452,10/27/2024,5,6,6,16,1,25.65
453,10/11/2021,2,17,17,8,2,159.87
454,12/6/2024,5,13,13,12,5,299.21
455,6/12/2025,1,31,31,7,4,768
456,8/19/2022,2,39,39,12,3,164.09
457,1/29/2024,2,39,39,16,2,53.74
458,1/1/2024,2,8,8,12,2,130.53
459,9/14/2024,2,24,24,18,2,53.49
460,9/23/2023,2,40,40,9,5,445.73
461,9/30/2022,5,21,21,10,4,155.13
462,2/27/2023,3,22,22,17,3,237.56
463,8/1/2025,5,15,15,2,2,160.08
464,3/31/2024,5,9,9,16,3,95.46
465,9/20/2023,2,40,40,12,3,199.57
466,12/18/2024,2,39,39,1,1,206.45
467,8/22/2024,2,8,8,13,4,571.77
468,12/10/2024,2,1,1,10,5,200.88
469,7/15/2025,5,6,6,17,1,83.65
470,11/30/2022,2,25,25,14,5,1075.12
471,3/15/2022,2,1,1,8,1,99.57
472,10/8/2023,5,15,15,5,4,241.18
473,9/26/2023,2,37,37,11,1,190.71
474,12/24/2022,2,1,1,11,1,182.66
475,12/30/2024,3,38,38,6,2,398.93
476,8/20/2023,2,24,24,8,1,98.16
477,1/27/2024,2,8,8,6,5,971.57
478,1/30/2022,2,40,40,11,2,355.34
479,4/18/2024,2,37,37,17,5,493.79
480,2/11/2024,2,25,25,12,3,199.89
481,1/2/2022,5,6,6,15,4,507.04
482,7/11/2022,2,8,8,1,3,533.99
483,5/30/2022,5,21,21,2,3,298.19
484,2/25/2023,5,9,9,15,1,124.9
485,6/4/2025,1,11,11,3,1,85.19
486,3/7/2025,5,15,15,9,4,278.69
487,10/31/2024,2,39,39,3,4,462.12
488,7/15/2024,2,37,37,4,4,492.82
489,12/26/2024,2,17,17,6,5,839.98
490,2/27/2023,4,29,29,2,2,159.31
491,3/26/2022,2,37,37,18,2,41.75
492,6/17/2023,2,8,8,7,1,173.17
493,4/2/2023,2,39,39,10,3,107.67
494,9/24/2024,2,1,1,13,2,359.46
495,7/5/2022,5,9,9,2,1,72.95
496,11/15/2022,2,24,24,9,3,199.72
497,12/24/2021,1,34,34,10,2,69.98
498,7/3/2023,2,8,8,15,1,121.84
499,9/17/2021,2,39,39,6,2,286.31
500,12/5/2021,2,39,39,2,1,91.88
501,8/25/2025,1,34,34,14,2,419.16
502,12/27/2021,2,1,1,13,3,555.71
503,5/15/2024,5,10,10,14,5,1026.21
504,12/5/2021,2,39,39,8,4,446.03
505,2/9/2023,2,25,25,13,1,130.62
506,5/23/2024,2,8,8,7,2,379.69
507,10/7/2024,2,37,37,14,5,919.53
508,10/25/2022,3,18,18,4,1,160.6
509,2/16/2024,2,37,37,6,2,310.38
510,10/13/2021,5,6,6,16,2,49.39
511,1/5/2024,2,25,25,16,4,101.31
512,1/13/2024,2,24,24,14,5,779.47
513,10/11/2024,5,9,9,18,4,120.85
514,6/29/2024,2,37,37,5,2,147.79
515,4/14/2025,2,17,17,2,3,226.1
516,5/23/2023,2,24,24,6,3,415.64
517,2/18/2023,5,15,15,18,1,27.07
518,3/30/2025,5,13,13,7,2,476.78
519,1/16/2022,2,1,1,15,1,140.31
520,6/11/2025,5,19,19,11,2,386.05
521,10/30/2024,1,32,32,16,3,96.23
522,1/7/2022,1,31,31,9,4,319.32
523,10/23/2022,2,40,40,11,1,182.73
524,2/4/2024,5,19,19,8,5,573.86
525,8/25/2024,2,24,24,12,4,200.12
526,7/31/2024,2,37,37,2,2,196.9
527,6/22/2025,2,24,24,18,3,81.76
528,11/4/2023,3,28,28,13,4,592.55
529,4/22/2025,1,34,34,13,1,170.42
530,8/15/2024,5,21,21,5,1,77.47
531,12/20/2021,1,11,11,8,4,422.16
532,1/28/2023,3,26,26,6,5,820.58
533,4/7/2025,2,40,40,12,5,355.69
534,12/13/2022,2,1,1,16,2,64.8
535,8/23/2025,2,8,8,11,3,486.24
536,2/20/2024,2,40,40,1,5,778.68
537,8/22/2023,3,5,5,13,5,690.97
538,8/18/2024,2,37,37,13,2,315.85
539,9/19/2022,2,40,40,14,1,175.41
540,11/27/2024,2,24,24,11,2,407.79
541,12/9/2023,3,16,16,9,5,387.1
542,1/12/2025,2,24,24,12,3,164.96
543,2/16/2023,2,24,24,7,2,371.79
544,6/14/2022,2,40,40,15,1,123.23
545,12/20/2023,5,13,13,16,1,26.39
546,6/24/2024,2,7,7,8,2,186.13
547,2/19/2024,1,31,31,7,4,913.08
548,9/8/2023,2,40,40,4,2,224.02
549,8/15/2022,2,39,39,10,1,35.92
550,5/2/2022,2,37,37,1,5,839.75
551,7/4/2022,5,13,13,8,1,102.23
552,9/9/2024,5,19,19,12,2,127.53
553,10/30/2023,2,40,40,6,2,322.38
554,9/21/2022,3,22,22,5,1,63.57
555,6/26/2023,1,32,32,18,5,130.72
556,8/4/2025,5,19,19,9,5,431.23
557,8/12/2022,3,3,3,18,4,120.92
558,4/19/2025,2,24,24,7,2,364.41
559,5/25/2024,2,37,37,10,4,196.41
560,1/22/2024,2,1,1,16,3,72.44
561,1/31/2025,2,40,40,3,4,352.4
562,10/18/2023,2,25,25,6,2,369.84
563,1/5/2025,2,1,1,4,1,123.7
564,8/15/2025,2,40,40,11,4,558.91
565,10/8/2022,5,19,19,3,3,271.45
566,9/13/2022,2,39,39,11,5,775.76
567,4/15/2025,2,7,7,2,3,290.61
568,1/17/2024,5,13,13,10,5,176.48
569,5/27/2024,2,17,17,15,4,585.18
570,12/22/2023,2,1,1,13,5,880.99
571,5/1/2023,2,24,24,16,2,62.43
572,5/11/2022,3,16,16,18,2,40.49
573,10/19/2024,5,9,9,10,3,144.07
574,12/5/2024,5,6,6,9,1,80.72
575,5/10/2023,5,10,10,9,3,262.99
576,6/7/2024,5,6,6,4,3,440.19
577,5/15/2022,5,6,6,17,5,427.5
578,7/29/2024,2,40,40,12,3,210.39
579,9/18/2022,1,34,34,3,3,324.61
580,7/10/2023,5,13,13,8,5,574.97
581,8/21/2022,2,37,37,17,1,71.05
582,11/21/2022,2,24,24,7,5,894.47
583,4/7/2024,3,16,16,13,1,155.31
584,2/24/2023,5,13,13,12,3,191.9
585,12/30/2023,2,24,24,16,3,96.67
586,7/20/2024,2,17,17,16,1,26.91
587,9/1/2025,1,32,32,10,4,150.85
588,2/2/2022,2,25,25,15,1,134.8
589,12/17/2022,2,37,37,2,1,74.29
590,4/19/2024,2,1,1,6,4,703.93
591,1/26/2023,3,4,4,6,3,586.3
592,6/22/2022,2,24,24,17,5,377.35
593,12/29/2022,2,37,37,8,3,300.13
594,5/26/2022,2,24,24,15,5,584.49
595,2/21/2022,5,15,15,2,5,405.63
596,3/28/2023,2,37,37,1,1,220.21
597,2/24/2025,2,1,1,4,5,663.46
598,2/4/2024,2,7,7,2,3,295.82
599,7/19/2023,5,13,13,5,1,74.76
600,12/19/2022,2,1,1,11,5,761.41
601,11/17/2023,5,9,9,16,4,104.2
602,11/1/2022,4,12,12,8,3,328.63
603,7/29/2024,2,40,40,4,3,413.46
604,8/10/2024,2,7,7,8,3,235.29
605,10/6/2021,5,6,6,11,5,946.75
