"ID_FACTURE","DT_FACTURE","ID_CLIENT","ID_DEVIS"
"FA000072","2024-07-12","KD-1649518","DE010667"
"FA000073","2024-03-19","HP-1481593","DE001682"
"FA000074","2024-05-21","CS-1246058","DE007500"
"FA000075","2023-06-13","PM-1894031","DE010404"
"FA000076","2024-06-23","FO-143051404","DE002804"
"FA000077","2023-06-23","AW-1084018","DE010404"
"FA000078","2023-07-16","PR-1888098","DE001866"
"FA000079","2023-10-23","KH-1651093","DE010404"
"FA000080","2024-06-04","CR-2820134","DE006565"
"FA000081","2023-12-07","HK-148901406","DE010404"
"FA000082","2023-07-16","JD-1589518","DE004072"
"FA000083","2023-06-03","AC-61563","DE010404"
"FA000084","2024-07-15","JS-158801408","DE003132"
"FA000085","2024-06-02","QJ-192551406","DE003934"
"FA000086","2023-09-05","MG-178751406","DE005433"
"FA000087","2023-06-23","ED-138851402","DE000459"
"FA000088","2024-03-23","BD-160522","DE010404"
"FA000089","2024-01-07","BD-1163591","DE003683"
"FA000090","2023-10-22","AC-106601406","DE010404"
"FA000091","2024-06-03","SG-20080120","DE010404"
"FA000092","2023-01-04","JH-1543028","DE010404"
"FA000093","2023-11-19","TH-2111526","DE010404"
"FA000094","2023-07-08","BP-1095131","DE010404"
"FA000095","2023-04-28","TN-2104018","DE010404"
"FA000096","2024-04-24","FM-421533","DE003349"
"FA000097","2024-03-16","CM-11815101","DE000826"
"FA000098","2024-06-19","AM-103607","DE010297"
"FA000099","2023-08-23","RL-196151406","DE010404"
"FA000100","2023-08-07","AB-10060102","DE010404"
"FA000101","2023-12-24","RH-1955545","DE001147"
"FA000102","2024-07-11","ML-73953","DE008531"
"FA000103","2023-06-05","KH-1636059","DE003562"
"FA000104","2023-06-01","HK-1489018","DE010404"
"FA000105","2024-03-16","MC-17425130","DE001419"
"FA000106","2023-05-24","BS-11590102","DE010404"
"FA000107","2023-11-06","MG-181451406","DE008199"
"FA000108","2023-01-03","EJ-3720117","DE010404"
"FA000109","2023-11-18","LS-169751402","DE000720"
"FA000110","2024-06-05","TS-11655108","DE008546"
"FA000111","2023-05-28","CL-256579","DE000540"
"FA000112","2023-12-06","CM-1211545","DE009149"
"FA000113","2023-05-01","NG-1835531","DE010404"
"FA000114","2023-10-17","GH-441060","DE010404"
"FA000115","2024-01-13","PS-189701402","DE006663"
"FA000116","2024-07-15","GH-4425134","DE009663"
"FA000117","2023-06-11","ME-732017","DE008856"
"FA000118","2024-05-22","BB-1154545","DE007432"
"FA000119","2023-05-12","BF-11080102","DE010566"
"FA000120","2024-02-29","RO-197801402","DE010404"
"FA000121","2023-09-30","JS-1568539","DE005001"
"FA000122","2024-03-02","PO-886595","DE000293"
"FA000123","2023-08-06","AA-106455","DE010404"
"FA000124","2023-05-18","AA-375110","DE010404"
"FA000125","2024-02-11","SV-2081582","DE003701"
"FA000126","2024-03-30","JR-162101402","DE002072"
"FA000127","2023-05-05","CM-19359","DE007489"
"FA000128","2023-08-26","JR-15670139","DE009429"
"FA000129","2023-06-15","SP-10650146","DE010404"
"FA000130","2024-02-11","MH-762023","DE004181"
"FA000131","2023-10-30","CJ-120101402","DE010404"
"FA000132","2023-04-30","KB-1658564","DE010404"
"FA000133","2023-06-30","RL-9615137","DE001994"
"FA000134","2023-09-26","JL-158351406","DE010404"
"FA000135","2023-09-11","BM-1785129","DE001273"
"FA000136","2023-08-02","JB-16000102","DE010404"
"FA000137","2024-06-14","DR-1294039","DE010404"
"FA000138","2023-04-06","GR-1456066","DE010404"
"FA000139","2023-11-24","SJ-2050031","DE000950"
"FA000140","2024-01-07","RD-194807","DE002256"
"FA000141","2023-03-26","BW-111101404","DE010404"
"FA000142","2024-06-19","DV-130451406","DE007124"
"FA000143","2023-06-24","HK-148901408","DE010404"
"FA000144","2024-02-16","PO-188501404","DE010404"
"FA000145","2023-11-27","PS-187601402","DE009778"
"FA000146","2023-11-12","CB-1241598","DE010404"
"FA000147","2024-07-18","HR-147701406","DE007615"
"FA000148","2023-07-26","FP-143205","DE010404"
"FA000149","2023-08-03","JK-520560","DE010404"
"FA000150","2023-02-19","SC-1080095","DE010404"
"FA000151","2023-07-12","NW-1840088","DE010404"
"FA000152","2024-04-21","DB-131201402","DE001115"
"FA000153","2023-06-19","PB-1921064","DE005801"
"FA000154","2023-12-02","CK-1276044","DE010404"
"FA000155","2023-11-22","EB-1370518","DE004738"
"FA000156","2023-04-23","AD-1018048","DE010404"
"FA000157","2024-06-15","MF-18250139","DE003787"
"FA000158","2023-12-15","AH-1007527","DE010404"
"FA000159","2024-02-20","DH-1307582","DE000967"
"FA000160","2023-06-17","PN-1877548","DE010404"
"FA000161","2023-10-22","JH-154307","DE001160"
"FA000162","2023-07-30","MP-1817598","DE010404"
"FA000163","2024-07-22","CL-270029","DE000316"
"FA000164","2024-04-28","AJ-1078048","DE010270"
"FA000165","2024-07-13","SC-20095120","DE003494"
"FA000166","2024-07-03","DP-3390117","DE006073"
"FA000167","2023-10-18","XP-11865137","DE006889"
"FA000168","2024-05-13","DL-2865122","DE001418"
"FA000169","2023-05-05","PF-916515","DE010404"
"FA000170","2023-01-29","SJ-2012597","DE010404"
"FA000171","2024-04-07","KF-162857","DE010404"
"FA000172","2023-03-07","MG-1789027","DE010404"
"FA000173","2024-02-01","PW-192401404","DE004155"
"FA000174","2023-07-27","JJ-5760135","DE010805"
"FA000175","2023-02-28","LM-1706536","DE010404"
"FA000176","2024-07-03","AF-108701404","DE008292"
"FA000177","2024-01-31","JR-157007","DE000695"
"FA000178","2024-05-24","ST-1053060","DE003018"
"FA000179","2023-11-01","AY-1055551","DE006006"
"FA000180","2024-05-18","AY-105551404","DE010404"
"FA000181","2023-01-02","RS-19765102","DE010404"
"FA000182","2023-08-25","MS-753061","DE010404"
"FA000183","2024-06-08","MH-17620102","DE005613"
"FA000184","2024-04-05","RS-194201","DE010404"
"FA000185","2023-01-30","AF-108857","DE010404"
"FA000186","2023-04-04","PW-190301406","DE004474"
"FA000187","2024-02-04","ML-1741031","DE004536"
"FA000188","2024-05-24","SD-20485130","DE009265"
"FA000189","2024-04-21","SM-2000558","DE010404"
"FA000190","2023-12-10","AF-885107","DE009060"
"FA000191","2024-06-06","DS-1303097","DE010401"
"FA000192","2024-01-14","EM-1414039","DE010404"
"FA000193","2023-09-26","DH-30754","DE000446"
"FA000194","2023-05-05","CS-119507","DE006722"
"FA000195","2024-03-27","MB-808557","DE006544"
"FA000196","2023-12-03","LD-1685527","DE002683"
"FA000197","2023-02-17","KC-1625555","DE010404"
"FA000198","2023-10-16","GH-1448558","DE007298"
"FA000199","2024-03-09","DB-1366028","DE005990"
"FA000200","2024-07-23","BB-1099097","DE007413"
"FA000201","2023-04-24","EH-1399059","DE010976"
"FA000202","2023-06-08","TC-10980115","DE009270"
"FA000203","2023-08-12","NM-18445118","DE010404"
"FA000204","2023-10-31","KE-1642091","DE010404"
"FA000205","2024-05-26","RH-1949559","DE002582"
"FA000206","2023-09-01","SH-1039595","DE010404"
"FA000207","2023-09-04","ME-1801021","DE010404"
"FA000208","2024-05-30","AC-66022","DE000265"
"FA000209","2024-02-19","TB-2159518","DE002579"
"FA000210","2023-10-11","WB-21850139","DE002096"
"FA000211","2023-07-16","TC-2129593","DE004100"
"FA000212","2024-05-28","CY-1274564","DE000017"
"FA000213","2023-04-24","PF-1912045","DE010404"
"FA000214","2023-06-24","JL-15175139","DE010404"
"FA000215","2023-06-20","PK-1907582","DE006102"
"FA000216","2023-01-08","RB-194655","DE010404"
"FA000217","2023-11-19","TG-2164058","DE010404"
"FA000218","2024-03-06","CD-1228082","DE004132"
"FA000219","2024-02-28","AF-1087012","DE000810"
"FA000220","2024-06-12","KM-672061","DE010705"
"FA000221","2023-04-18","CD-1279027","DE005983"
"FA000222","2024-05-13","TB-213551406","DE009241"
"FA000223","2023-02-13","JK-157301406","DE000034"
"FA000224","2023-12-07","MF-176651404","DE008781"
"FA000225","2023-06-09","BG-1103551","DE010404"
"FA000226","2023-11-11","DB-1291059","DE009208"
"FA000227","2023-08-16","EB-1411051","DE010939"
"FA000228","2024-01-21","CM-1183097","DE005489"
"FA000229","2023-04-18","MJ-1774054","DE010404"
"FA000230","2024-07-15","JM-5655117","DE004961"
"FA000231","2023-10-21","AM-1036039","DE010404"
"FA000232","2023-01-15","LP-1708059","DE010404"
"FA000233","2024-02-28","SC-10845137","DE010404"
"FA000234","2024-02-25","DM-3525134","DE005516"
"FA000235","2024-04-14","AS-10045120","DE010057"
"FA000236","2023-12-25","SC-2038051","DE009110"
"FA000237","2024-01-25","HD-1478527","DE002415"
"FA000238","2023-05-20","JC-5385108","DE010404"
"FA000239","2023-04-15","AB-101051402","DE010404"
"FA000240","2023-09-07","AP-10915139","DE010404"
"FA000241","2023-03-14","MM-17920139","DE010404"
"FA000242","2024-07-23","HE-1480014","DE008433"
"FA000243","2023-01-22","AJ-109451408","DE010404"
"FA000244","2023-12-31","DB-3060117","DE006120"
"FA000245","2024-06-28","NB-185801408","DE003924"
"FA000246","2023-08-20","JH-1591091","DE010404"
"FA000247","2024-07-23","BE-11410144","DE007197"
"FA000248","2024-01-16","CB-1253539","DE005972"
"FA000249","2023-07-04","SC-2072548","DE010404"
"FA000250","2024-04-24","BP-105095","DE006751"
"FA000251","2024-06-18","SC-2009593","DE007894"
"FA000252","2023-10-02","TS-215051406","DE010404"
"FA000253","2023-10-24","CR-28203","DE010404"
"FA000254","2024-01-07","SF-2020058","DE009526"
"FA000255","2024-02-16","SA-2083082","DE002343"
"FA000256","2023-11-28","VP-11730134","DE006952"
"FA000257","2023-03-17","NP-1870059","DE010404"
"FA000258","2024-03-02","CK-2205145","DE002432"
"FA000259","2023-11-16","AR-1051048","DE010404"
"FA000260","2023-02-09","VP-2173058","DE010404"
"FA000261","2024-05-14","PC-190007","DE004208"
"FA000262","2024-05-24","GK-1462058","DE003770"
"FA000263","2024-02-05","DJ-1342082","DE010404"
"FA000264","2024-02-14","AA-1064536","DE010404"
"FA000265","2023-10-22","SN-205601402","DE006764"
"FA000266","2023-09-19","RR-1952555","DE010404"
"FA000267","2024-06-27","EM-1382566","DE003754"
"FA000268","2023-04-17","AH-1003082","DE010404"
"FA000269","2023-02-08","PF-1916558","DE010404"
"FA000270","2023-08-24","CT-119951406","DE010404"
"FA000271","2023-08-22","DJ-1351039","DE010404"
"FA000272","2023-06-11","ER-3855134","DE003421"
"FA000273","2024-01-23","ML-8265117","DE010404"
"FA000274","2023-08-09","LD-1700558","DE001741"
"FA000275","2023-02-27","PB-1921059","DE010404"
"FA000276","2023-03-01","BD-1620117","DE010404"
"FA000277","2023-06-21","JB-1540027","DE010404"
"FA000278","2023-08-08","FC-1433564","DE006818"
"FA000279","2024-07-10","MS-1753058","DE010404"
"FA000280","2024-07-22","EA-140351402","DE003972"
"FA000281","2023-10-13","EL-137355","DE010404"
"FA000282","2024-07-06","DB-312023","DE009768"
"FA000283","2024-01-26","PB-1921048","DE002200"
"FA000284","2024-04-22","SP-2062018","DE008257"
"FA000285","2024-07-02","NM-18445118","DE003322"
"FA000286","2024-05-27","AW-1093051","DE008337"
"FA000287","2024-06-12","TB-1152069","DE008401"
"FA000288","2024-03-09","MC-1757555","DE003283"
"FA000289","2024-02-06","KD-1649545","DE004030"
"FA000290","2023-12-31","KF-6285145","DE000795"
"FA000291","2024-05-07","CC-125501404","DE001378"
"FA000292","2024-06-09","VD-11670116","DE000677"
"FA000293","2023-02-08","ML-775586","DE010404"
"FA000294","2023-03-13","PJ-1883582","DE010404"
"FA000295","2024-04-16","MG-17680102","DE010404"
"FA000296","2023-07-27","SS-1059013","DE010404"
"FA000297","2023-07-14","LD-68553","DE010404"
"FA000298","2024-07-08","GB-1453064","DE007640"
"FA000299","2023-10-30","CC-126101408","DE010404"
"FA000300","2024-07-03","EH-1394593","DE006099"
"FA000301","2023-07-05","BT-1305108","DE010404"
"FA000302","2023-04-20","SC-10380126","DE010404"
"FA000303","2023-06-07","JB-1600045","DE010404"
"FA000304","2023-01-01","MP-1747031","DE010404"
"FA000305","2024-07-10","AH-1046558","DE005675"
"FA000306","2023-11-18","DB-1355558","DE007133"
"FA000307","2024-04-10","JM-586595","DE010870"
"FA000308","2024-02-08","MC-1742518","DE009116"
"FA000309","2024-01-10","CK-125951404","DE008732"
"FA000310","2023-03-13","TM-2149011","DE009954"
"FA000311","2023-01-18","HJ-4875110","DE010404"
"FA000312","2024-01-08","RA-928538","DE010404"
"FA000313","2023-11-03","BS-159015","DE010404"
"FA000314","2023-06-30","AC-104501402","DE004286"
"FA000315","2024-05-27","NH-861023","DE006766"
"FA000316","2023-09-08","PB-191051408","DE010404"
"FA000317","2024-05-17","MW-182201406","DE009343"
"FA000318","2023-10-31","SS-204101402","DE002937"
"FA000319","2024-05-26","LS-17245102","DE000101"
"FA000320","2024-02-06","JL-1523526","DE003330"
"FA000321","2023-01-07","JF-529530","DE010404"
"FA000322","2023-07-23","SS-2051536","DE004860"
"FA000323","2024-04-26","SS-205907","DE006652"
"FA000324","2024-02-12","JK-562595","DE010404"
"FA000325","2024-07-01","TN-210405","DE007685"
"FA000326","2024-04-17","BP-11290120","DE003343"
"FA000327","2023-10-16","SJ-20215127","DE009228"
"FA000328","2023-12-27","MM-18280120","DE010404"
"FA000329","2024-06-07","DJ-3630107","DE010404"
"FA000330","2023-03-29","BS-117551402","DE010404"
"FA000331","2023-04-20","SS-2059059","DE010404"
"FA000332","2024-01-13","KF-16285139","DE003678"
"FA000333","2023-07-21","BM-1178545","DE002964"
"FA000334","2024-03-07","MZ-1733548","DE006392"
"FA000335","2023-11-02","LP-17080139","DE007195"
"FA000336","2024-04-14","TB-215957","DE008534"
"FA000337","2023-09-20","AJ-960134","DE010404"
"FA000338","2023-03-02","SD-204857","DE010404"
"FA000339","2024-02-06","BF-1170108","DE008403"
"FA000340","2023-04-23","TC-2098098","DE010404"
"FA000341","2023-10-20","SC-2002031","DE010404"
"FA000342","2024-07-05","EK-1379582","DE008217"
"FA000343","2023-11-08","DB-297047","DE010404"
"FA000344","2023-05-07","TC-11475126","DE010404"
"FA000345","2023-06-17","JL-5130110","DE010404"
"FA000346","2024-01-14","NG-184301404","DE000213"
"FA000347","2024-02-10","BO-1142558","DE008775"
"FA000348","2023-08-21","SC-1069568","DE010915"
"FA000349","2024-02-06","AS-1009048","DE007793"
"FA000350","2023-09-17","YS-218807","DE007530"
"FA000351","2024-03-27","EJ-372095","DE005108"
"FA000352","2024-04-30","KS-630033","DE005342"
"FA000353","2024-03-21","GD-1459027","DE009216"
"FA000354","2023-06-08","RD-972019","DE010404"
"FA000355","2023-07-25","MS-17770120","DE010404"
"FA000356","2023-09-25","BD-1725103","DE010404"
"FA000357","2023-01-09","RA-928563","DE010404"
"FA000358","2023-09-27","GT-4635122","DE010404"
"FA000359","2023-01-08","PW-1924036","DE010404"
"FA000360","2023-06-05","KW-1657080","DE009363"
"FA000361","2024-01-09","JK-1562559","DE010404"
"FA000362","2023-06-04","DB-32103","DE010404"
"FA000363","2023-12-25","PJ-1883564","DE001527"
"FA000364","2023-04-05","LS-723095","DE006368"
"FA000365","2023-01-15","KB-1640578","DE010404"
"FA000366","2023-09-26","HM-14860139","DE010404"
"FA000367","2023-05-01","LC-688538","DE010404"
"FA000368","2023-04-23","ZD-2192545","DE010404"
"FA000369","2023-11-29","JB-59252","DE010404"
"FA000370","2023-12-17","RD-1993092","DE003501"
"FA000371","2024-04-25","AG-1049527","DE010404"
"FA000372","2024-01-20","AB-102551408","DE009198"
"FA000373","2024-04-07","DW-1348082","DE009412"
"FA000374","2024-05-18","MG-768033","DE006065"
"FA000375","2023-08-28","EC-1405011","DE010404"
"FA000376","2023-09-14","GD-459095","DE004859"
"FA000377","2023-02-22","JF-15565102","DE010404"
"FA000378","2024-01-29","PK-19075139","DE009606"
"FA000379","2023-05-23","DS-13180120","DE010404"
"FA000380","2023-11-27","TP-11565108","DE009126"
"FA000381","2024-03-28","MZ-17515124","DE010139"
"FA000382","2024-04-22","MF-176651408","DE008807"
"FA000383","2024-05-05","JG-5160117","DE010860"
"FA000384","2023-11-25","LP-1708055","DE010404"
"FA000385","2024-01-13","JE-154757","DE008445"
"FA000386","2024-04-02","DO-343586","DE004636"
"FA000387","2024-04-27","PH-879022","DE008161"
"FA000388","2024-02-04","DW-131951404","DE009076"
"FA000389","2023-03-16","JH-1591018","DE010404"
"FA000390","2023-03-12","KD-164957","DE010404"
"FA000391","2024-06-21","RF-193451404","DE008783"
"FA000392","2023-12-24","SG-2089051","DE010404"
"FA000393","2023-12-19","DK-1309039","DE010404"
"FA000394","2024-04-18","CC-126701404","DE010404"
"FA000395","2023-01-29","JE-1616555","DE010404"
"FA000396","2023-12-11","TC-2147528","DE002127"
"FA000397","2023-06-27","SB-10185108","DE009382"
"FA000398","2024-03-19","LW-1699064","DE010404"
"FA000399","2023-12-20","SC-20575113","DE002019"
"FA000400","2023-08-17","LD-1700558","DE010404"
"FA000401","2023-12-15","CK-1259545","DE010404"
"FA000402","2023-01-16","AS-101351406","DE010404"
"FA000403","2023-02-20","JF-1556564","DE010404"
"FA000404","2023-02-18","CM-1265527","DE010404"
"FA000405","2023-08-18","AG-1030093","DE002077"
"FA000406","2023-09-12","TS-2120559","DE010404"
"FA000407","2024-06-08","PB-1915055","DE003358"
"FA000408","2023-05-30","ND-1846096","DE007531"
"FA000409","2023-08-10","EP-13915102","DE010245"
"FA000410","2023-12-03","FP-1432039","DE010404"
"FA000411","2023-07-08","PC-8745137","DE010404"
"FA000412","2024-03-30","BD-1177048","DE002664"
"FA000413","2024-03-13","JL-152351408","DE003988"
"FA000414","2023-07-10","LH-715522","DE010404"
"FA000415","2024-01-10","VG-2180527","DE006591"
"FA000416","2023-11-09","AS-1013536","DE010404"
"FA000417","2023-07-03","CM-122351404","DE006613"
"FA000418","2023-09-10","SS-1014095","DE004052"
"FA000419","2024-01-26","KC-6675134","DE010404"
"FA000420","2023-08-02","DB-1321093","DE010404"
"FA000421","2024-03-18","DE-132557","DE001382"
"FA000422","2023-04-04","WB-2185045","DE010404"
"FA000423","2023-02-02","DB-1361536","DE010404"
"FA000424","2023-06-07","SS-2014059","DE010404"
"FA000425","2023-07-01","GD-1459055","DE010404"
"FA000426","2023-05-11","PB-1915048","DE009490"
"FA000427","2024-03-19","KB-1624027","DE010404"
"FA000428","2024-07-04","JP-546060","DE005532"
"FA000429","2023-08-08","Dl-3600111","DE010404"
"FA000430","2024-03-25","NR-185501406","DE009099"
"FA000431","2024-04-12","BS-1380147","DE010404"
"FA000432","2023-03-31","RS-197651402","DE010404"
"FA000433","2023-04-25","MC-7275137","DE008125"
"FA000434","2023-09-11","SJ-201251408","DE010404"
"FA000435","2023-11-07","NC-1834059","DE000864"
"FA000436","2023-11-24","DB-1340582","DE010404"
"FA000437","2023-04-30","DP-1310555","DE010404"
"FA000438","2023-03-01","AM-70513","DE010404"
"FA000439","2024-07-10","RA-1928545","DE003567"
"FA000440","2024-06-11","NW-1840039","DE009051"
"FA000441","2024-04-09","JE-54753","DE007158"
"FA000442","2023-01-15","NM-1844582","DE010404"
"FA000443","2023-10-10","BP-1105039","DE009724"
"FA000444","2023-02-12","CS-1246027","DE010404"
"FA000445","2024-07-18","JS-588060","DE004912"
"FA000446","2024-06-16","BM-1114055","DE008750"
"FA000447","2024-05-05","KF-1628548","DE005953"
"FA000448","2023-12-22","SH-2063564","DE010404"
"FA000449","2023-01-12","GB-453086","DE010404"
"FA000450","2023-02-04","RD-1948048","DE010404"
"FA000451","2024-04-19","IL-5100134","DE000281"
"FA000452","2024-01-23","GZ-1447058","DE007230"
"FA000453","2024-04-12","SR-1042538","DE010404"
"FA000454","2023-02-07","KD-1661582","DE010404"
"FA000455","2024-05-10","PS-190458","DE003671"
"FA000456","2023-10-06","NP-1868518","DE002486"
"FA000457","2023-12-16","KD-1627027","DE010404"
"FA000458","2023-12-06","JJ-15445118","DE006549"
"FA000459","2023-03-23","KL-1664545","DE010404"
"FA000460","2023-12-11","LO-1717058","DE010404"
"FA000461","2023-10-23","AR-82538","DE007488"
"FA000462","2023-07-19","DG-1330027","DE000028"
"FA000463","2024-02-07","BS-166538","DE010404"
"FA000464","2024-02-19","RM-9750134","DE004786"
"FA000465","2023-01-09","RM-19375130","DE010404"
"FA000466","2024-03-09","JS-1568527","DE007553"
"FA000467","2023-01-01","CC-121001402","DE010404"
"FA000468","2023-08-26","EB-1397591","DE010404"
"FA000469","2023-08-16","TB-212507","DE000014"
"FA000470","2024-04-16","ME-772530","DE004532"
"FA000471","2023-12-10","CR-1258058","DE000087"
"FA000472","2024-05-03","EB-138401402","DE006476"
"FA000473","2023-12-16","SE-20110139","DE010404"
"FA000474","2023-05-19","GM-1445527","DE007649"
"FA000475","2023-09-08","TW-1102549","DE010404"
"FA000476","2023-07-18","LL-6840137","DE010404"
"FA000477","2023-02-28","PW-1924059","DE010404"
"FA000478","2023-12-02","AF-1088591","DE003234"
"FA000479","2024-02-27","KW-1657045","DE001987"
"FA000480","2023-10-07","NP-1832564","DE007941"
"FA000481","2023-04-19","TG-2131027","DE010404"
"FA000482","2024-06-20","EM-1414011","DE003634"
"FA000483","2023-03-10","KH-1669059","DE010404"
"FA000484","2023-06-26","DR-128801404","DE010404"
"FA000485","2023-02-23","JB-160005","DE010404"
"FA000486","2023-04-21","AS-13563","DE010404"
"FA000487","2024-05-16","CC-12220120","DE009134"
"FA000488","2024-02-19","CL-256586","DE000072"
"FA000489","2023-09-17","EM-1382545","DE010404"
"FA000490","2024-04-16","KS-1630031","DE003042"
"FA000491","2024-04-07","PF-922522","DE010404"
"FA000492","2024-01-14","Co-1264045","DE001834"
"FA000493","2024-04-02","FM-429069","DE001083"
"FA000494","2024-04-24","EH-1394531","DE007049"
"FA000495","2023-06-03","MG-1789048","DE010404"
"FA000496","2023-02-10","DL-1333048","DE010404"
"FA000497","2023-04-20","VB-2174527","DE010404"
"FA000498","2024-07-07","MC-1759014","DE009096"
"FA000499","2023-04-17","EM-381032","DE010404"
"FA000500","2023-12-24","AG-67595","DE008485"
"FA000501","2023-12-23","MW-1822036","DE010758"
"FA000502","2024-06-13","DB-291013","DE002764"
"FA000503","2023-03-18","LC-171401406","DE010404"
"FA000504","2023-07-29","AA-103151404","DE010404"
"FA000505","2023-09-29","KT-16480104","DE010404"
"FA000506","2023-01-09","DJ-1363036","DE010404"
"FA000507","2023-12-10","CM-12445102","DE010404"
"FA000508","2023-03-20","DJ-1342039","DE010404"
"FA000509","2024-02-10","RB-933067","DE005677"
"FA000510","2023-01-24","WB-218501406","DE010404"
"FA000511","2023-07-15","HW-493560","DE000348"
"FA000512","2024-07-12","AR-1057048","DE005389"
"FA000513","2023-01-09","RA-198858","DE010404"
"FA000514","2024-04-20","SO-2033582","DE000365"
"FA000515","2024-02-16","DV-130457","DE004811"
"FA000516","2023-01-08","RW-1954045","DE010404"
"FA000517","2023-09-26","TS-2137058","DE003507"
"FA000518","2023-02-14","DK-1283534","DE010404"
"FA000519","2023-12-06","FP-1432082","DE002175"
"FA000520","2023-03-30","LW-699060","DE010404"
"FA000521","2024-05-12","AO-1081059","DE010830"
"FA000522","2024-01-01","MS-1783039","DE009636"
"FA000523","2023-03-07","CS-1186031","DE010404"
"FA000524","2024-05-25","PJ-1883527","DE008760"
"FA000525","2023-05-03","EG-390095","DE002344"
"FA000526","2024-05-12","HG-1502527","DE006989"
"FA000527","2024-05-10","KC-162551408","DE005981"
"FA000528","2024-06-21","FA-14230120","DE003538"
"FA000529","2023-04-03","ES-4080117","DE010404"
"FA000530","2023-04-18","MD-17860132","DE010404"
"FA000531","2023-05-03","CC-2145112","DE010404"
"FA000532","2023-09-22","TC-1153584","DE010404"
"FA000533","2023-06-28","BP-1129082","DE010404"
"FA000534","2024-03-09","RA-199451402","DE010404"
"FA000535","2024-03-27","JH-5985110","DE010859"
"FA000536","2023-06-11","LH-169001402","DE006647"
"FA000537","2023-07-13","PM-1894036","DE010404"
"FA000538","2024-02-24","JE-157451404","DE000667"
