"ID_DEVIS","CD_PRESTATION","NB_QUANTITE","NB_PRIX_HT","NB_PRIX_TTC"
"DE008546","PS0002","4","1184","1302.4"
"DE000540","PS0074","3","1493","1493"
"DE009149","PS0030","15","3765","4141.5"
"DE009557","PS0119","14","831","914.1"
"DE001715","PS0104","9","3030","3636"
"DE006663","PS0046","20","4813","5775.6"
"DE009663","PS0176","8","1902","1902"
"DE008856","PS0116","20","4508","4958.8"
"DE007432","PS0170","4","3820","4202"
"DE010566","PS0139","10","3529","3705.45"
"DE006282","PS0179","9","3886","4274.6"
"DE005001","PS0042","8","3772","4526.4"
"DE000293","PS0198","20","3668","4401.6"
"DE000696","PS0050","18","2801","3361.2"
"DE001104","PS0136","1","3166","3482.6"
"DE003701","PS0196","11","3273","3927.6"
"DE002072","PS0047","4","1271","1334.55"
"DE007489","PS0143","6","4067","4473.7"
"DE009429","PS0064","14","2959","3254.9"
"DE007283","PS0127","2","3451","3796.1"
"DE004181","PS0157","19","596","596"
"DE007151","PS0043","18","1449","1521.45"
"DE005788","PS0092","5","1266","1266"
"DE001994","PS0046","4","4813","5775.6"
"DE007332","PS0036","6","3506","4207.2"
"DE001273","PS0101","10","4494","5392.8"
"DE001449","PS0187","15","3333","3499.65"
"DE010772","PS0051","8","1179","1414.8"
"DE001209","PS0148","5","3503","3678.15"
"DE000950","PS0134","14","2614","3136.8"
"DE002256","PS0168","9","2550","2677.5"
"DE002227","PS0187","1","3333","3499.65"
"DE007124","PS0032","12","1857","1949.85"
"DE007483","PS0188","4","1923","2307.6"
"DE006978","PS0083","10","4750","5700"
"DE009778","PS0099","11","3071","3224.55"
"DE002657","PS0140","20","4874","4874"
"DE007615","PS0131","8","4193","5031.6"
"DE009939","PS0059","5","4993","5242.65"
"DE000934","PS0085","18","871","914.55"
"DE010130","PS0084","1","1596","1675.8"
"DE007718","PS0025","10","4960","5208"
"DE001115","PS0037","3","4777","5015.85"
"DE005801","PS0173","13","4850","4850"
"DE003877","PS0071","14","1285","1349.25"
"DE004738","PS0006","13","2045","2249.5"
"DE001975","PS0039","2","737","773.85"
"DE003787","PS0197","2","3502","3852.2"
"DE007656","PS0190","5","822","863.1"
"DE000967","PS0041","17","830","871.5"
"DE006250","PS0022","14","3106","3106"
"DE001160","PS0016","19","4420","5304"
"DE001766","PS0114","13","3975","4372.5"
"DE000316","PS0032","11","1857","1949.85"
"DE010270","PS0158","8","4083","4083"
"DE003494","PS0186","1","3126","3438.6"
"DE006073","PS0045","2","3895","4674"
"DE006889","PS0048","5","2078","2493.6"
"DE001418","PS0066","19","2450","2450"
"DE008814","PS0060","8","2474","2968.8"
"DE010203","PS0062","19","2182","2291.1"
"DE004037","PS0159","3","1547","1624.35"
"DE006243","PS0050","16","2801","3361.2"
"DE004155","PS0086","5","4872","5846.4"
"DE010805","PS0065","11","3011","3011"
"DE006987","PS0064","11","2959","3254.9"
"DE008292","PS0147","2","1530","1530"
"DE000695","PS0113","4","1421","1421"
"DE003018","PS0112","2","2886","3463.2"
"DE006006","PS0078","11","3929","3929"
"DE005231","PS0166","8","2363","2481.15"
"DE000309","PS0138","18","2809","2949.45"
"DE007588","PS0194","10","4157","4572.7"
"DE005613","PS0030","6","3765","4141.5"
"DE008384","PS0012","17","3469","4162.8"
"DE000402","PS0066","4","2450","2450"
"DE004474","PS0028","12","2114","2114"
"DE004536","PS0147","17","1530","1530"
"DE009265","PS0086","3","4872","5846.4"
"DE010052","PS0141","15","3556","3733.8"
"DE009060","PS0193","16","4880","4880"
"DE010401","PS0117","18","4835","5802"
"DE005944","PS0084","16","1596","1675.8"
"DE000446","PS0023","1","3479","3479"
"DE006722","PS0055","18","3539","3539"
"DE006544","PS0050","15","2801","3361.2"
"DE002683","PS0168","15","2550","2677.5"
"DE006604","PS0171","18","1863","1956.15"
"DE007298","PS0058","14","3666","4399.2"
"DE005990","PS0089","7","3356","3356"
"DE007413","PS0193","1","4880","4880"
"DE010976","PS0196","3","3273","3927.6"
"DE009270","PS0034","16","2908","2908"
"DE000368","PS0054","4","798","877.8"
"DE005050","PS0017","1","3898","3898"
"DE002582","PS0038","13","3432","3432"
"DE007389","PS0036","8","3506","4207.2"
"DE006515","PS0181","19","1128","1353.6"
"DE000265","PS0024","3","4289","5146.8"
"DE002579","PS0068","15","638","638"
"DE002096","PS0155","11","2134","2347.4"
"DE004100","PS0181","20","1128","1353.6"
"DE000017","PS0193","5","4880","4880"
"DE001392","PS0178","1","2534","2660.7"
"DE003920","PS0195","20","2296","2296"
"DE006102","PS0042","17","3772","4526.4"
"DE005018","PS0045","15","3895","4674"
"DE004854","PS0140","18","4874","4874"
"DE004132","PS0116","2","4508","4958.8"
"DE000810","PS0191","2","1646","1728.3"
"DE010705","PS0164","8","1809","1809"
"DE005983","PS0038","14","3432","3432"
"DE009241","PS0054","8","798","877.8"
"DE000034","PS0107","7","2693","3231.6"
"DE008781","PS0104","10","3030","3636"
"DE007716","PS0119","8","831","914.1"
"DE009208","PS0196","4","3273","3927.6"
"DE010939","PS0154","3","699","699"
"DE005489","PS0032","14","1857","1949.85"
"DE009934","PS0041","18","830","871.5"
"DE004961","PS0167","15","2672","2805.6"
"DE000333","PS0161","15","2912","2912"
"DE002606","PS0055","15","3539","3539"
"DE007802","PS0119","10","831","914.1"
"DE005516","PS0103","5","1326","1458.6"
"DE010057","PS0050","13","2801","3361.2"
"DE009110","PS0142","7","1183","1242.15"
"DE002415","PS0181","2","1128","1353.6"
"DE009820","PS0138","10","2809","2949.45"
"DE010455","PS0003","3","710","852"
"DE009323","PS0144","11","613","613"
"DE007785","PS0101","12","4494","5392.8"
"DE008433","PS0115","19","4570","5027"
"DE005547","PS0081","9","3916","4307.6"
"DE006120","PS0198","1","3668","4401.6"
"DE003924","PS0028","10","2114","2114"
"DE009345","PS0113","4","1421","1421"
"DE007197","PS0120","8","4751","5701.2"
"DE005972","PS0164","4","1809","1809"
"DE009410","PS0142","1","1183","1242.15"
"DE006751","PS0053","13","1852","2037.2"
"DE007894","PS0084","7","1596","1675.8"
"DE006665","PS0060","19","2474","2968.8"
"DE000043","PS0106","17","2784","3340.8"
"DE009526","PS0105","12","2785","2924.25"
"DE002343","PS0175","13","2398","2877.6"
"DE006952","PS0097","1","3905","4686"
"DE002224","PS0111","11","3335","4002"
"DE002432","PS0197","4","3502","3852.2"
"DE001591","PS0036","20","3506","4207.2"
"DE003789","PS0173","19","4850","4850"
"DE004208","PS0059","16","4993","5242.65"
"DE003770","PS0150","13","3275","3438.75"
"DE000734","PS0117","3","4835","5802"
"DE008295","PS0088","14","1464","1610.4"
"DE006764","PS0099","6","3071","3224.55"
"DE000476","PS0167","3","2672","2805.6"
"DE003754","PS0022","17","3106","3106"
"DE004418","PS0085","17","871","914.55"
"DE001426","PS0117","12","4835","5802"
"DE009232","PS0189","6","1018","1018"
"DE004410","PS0189","9","1018","1018"
"DE003421","PS0025","4","4960","5208"
"DE004621","PS0034","15","2908","2908"
"DE001741","PS0023","15","3479","3479"
"DE001002","PS0051","20","1179","1414.8"
"DE006776","PS0075","16","3943","4140.15"
"DE007238","PS0001","15","2024","2125.2"
"DE006818","PS0176","3","1902","1902"
"DE007904","PS0038","12","3432","3432"
"DE003972","PS0092","10","1266","1266"
"DE007560","PS0102","7","1322","1388.1"
"DE009768","PS0147","4","1530","1530"
"DE002200","PS0056","11","3253","3578.3"
"DE008257","PS0152","19","1962","1962"
"DE003322","PS0140","8","4874","4874"
"DE008337","PS0128","11","1185","1244.25"
"DE008401","PS0053","5","1852","2037.2"
"DE003283","PS0107","8","2693","3231.6"
"DE004030","PS0015","17","4308","4738.8"
"DE000795","PS0021","17","1716","1801.8"
"DE001378","PS0026","7","2578","3093.6"
"DE000677","PS0121","17","4246","4458.3"
"DE007513","PS0076","17","4709","4709"
"DE002715","PS0039","19","737","773.85"
"DE010644","PS0068","15","638","638"
"DE009755","PS0093","15","2999","3148.95"
"DE009192","PS0064","17","2959","3254.9"
"DE007640","PS0038","17","3432","3432"
"DE003974","PS0042","2","3772","4526.4"
"DE006099","PS0041","11","830","871.5"
"DE000494","PS0071","19","1285","1349.25"
"DE003842","PS0040","7","1880","1974"
"DE010738","PS0064","5","2959","3254.9"
"DE010156","PS0131","9","4193","5031.6"
"DE005675","PS0193","8","4880","4880"
"DE007133","PS0118","14","3828","4210.8"
"DE010870","PS0170","6","3820","4202"
"DE009116","PS0147","6","1530","1530"
"DE008732","PS0093","11","2999","3148.95"
"DE009954","PS0087","12","2181","2181"
"DE002388","PS0176","8","1902","1902"
"DE009242","PS0007","20","2921","3213.1"
"DE001499","PS0116","5","4508","4958.8"
"DE004286","PS0170","4","3820","4202"
"DE006766","PS0054","1","798","877.8"
"DE003761","PS0176","14","1902","1902"
"DE009343","PS0170","11","3820","4202"
"DE002937","PS0028","5","2114","2114"
"DE000101","PS0079","6","1943","1943"
"DE003330","PS0118","10","3828","4210.8"
"DE001286","PS0068","14","638","638"
"DE004860","PS0126","14","4385","4385"
"DE006652","PS0068","4","638","638"
"DE001627","PS0039","6","737","773.85"
"DE007685","PS0027","20","1108","1329.6"
"DE003343","PS0167","13","2672","2805.6"
"DE009228","PS0004","14","4618","5541.6"
"DE003714","PS0104","17","3030","3636"
"DE002598","PS0122","4","1558","1635.9"
"DE003165","PS0041","8","830","871.5"
"DE005386","PS0051","6","1179","1414.8"
"DE003678","PS0071","9","1285","1349.25"
"DE002964","PS0159","12","1547","1624.35"
"DE006392","PS0024","18","4289","5146.8"
"DE007195","PS0140","18","4874","4874"
"DE008534","PS0187","2","3333","3499.65"
"DE004837","PS0040","13","1880","1974"
"DE010905","PS0143","2","4067","4473.7"
"DE008403","PS0047","8","1271","1334.55"
"DE007697","PS0016","20","4420","5304"
"DE009919","PS0146","13","1742","1742"
"DE008217","PS0018","4","4405","4845.5"
"DE010511","PS0106","20","2784","3340.8"
"DE010055","PS0160","5","1396","1535.6"
"DE010280","PS0080","15","2482","2482"
"DE000213","PS0155","20","2134","2347.4"
"DE008775","PS0037","13","4777","5015.85"
"DE010915","PS0060","14","2474","2968.8"
"DE007793","PS0115","8","4570","5027"
"DE007530","PS0094","2","2548","2802.8"
"DE005108","PS0193","19","4880","4880"
"DE005342","PS0134","19","2614","3136.8"
"DE009216","PS0130","7","2449","2693.9"
"DE002697","PS0183","16","4635","4635"
"DE000952","PS0032","13","1857","1949.85"
"DE010751","PS0089","19","3356","3356"
"DE009648","PS0091","14","4055","4460.5"
"DE010321","PS0026","14","2578","3093.6"
"DE005066","PS0185","3","2944","3091.2"
"DE009363","PS0133","5","1869","2242.8"
"DE008681","PS0135","1","3908","4689.6"
"DE004727","PS0010","14","4373","4591.65"
"DE001527","PS0142","20","1183","1242.15"
"DE006368","PS0126","1","4385","4385"
"DE003922","PS0193","5","4880","4880"
"DE006347","PS0167","3","2672","2805.6"
"DE008510","PS0161","7","2912","2912"
"DE010689","PS0180","19","2164","2272.2"
"DE005424","PS0096","1","2802","2942.1"
"DE003501","PS0064","6","2959","3254.9"
"DE009400","PS0042","1","3772","4526.4"
"DE009198","PS0081","12","3916","4307.6"
"DE009412","PS0033","7","1340","1340"
"DE006065","PS0082","6","4269","4695.9"
"DE010879","PS0017","18","3898","3898"
"DE004859","PS0107","1","2693","3231.6"
"DE004793","PS0089","18","3356","3356"
"DE009606","PS0187","19","3333","3499.65"
"DE009969","PS0090","8","2587","3104.4"
"DE009126","PS0014","14","3304","3469.2"
"DE010139","PS0101","4","4494","5392.8"
"DE008807","PS0113","4","1421","1421"
"DE010860","PS0084","18","1596","1675.8"
"DE000496","PS0129","10","548","575.4"
"DE008445","PS0143","18","4067","4473.7"
"DE004636","PS0108","14","2728","3000.8"
"DE008161","PS0118","8","3828","4210.8"
"DE009076","PS0001","10","2024","2125.2"
"DE008554","PS0019","1","4815","4815"
"DE001242","PS0055","9","3539","3539"
"DE008783","PS0057","5","2855","3140.5"
"DE010110","PS0028","14","2114","2114"
"DE009608","PS0090","19","2587","3104.4"
"DE003315","PS0108","7","2728","3000.8"
"DE002431","PS0079","18","1943","1943"
"DE002127","PS0108","4","2728","3000.8"
"DE009382","PS0065","9","3011","3011"
"DE006155","PS0117","16","4835","5802"
"DE002019","PS0187","16","3333","3499.65"
"DE005326","PS0124","16","2519","2519"
"DE004757","PS0158","6","4083","4083"
"DE002692","PS0035","12","3653","4383.6"
"DE008006","PS0091","15","4055","4460.5"
"DE002553","PS0187","16","3333","3499.65"
"DE002077","PS0179","3","3886","4274.6"
"DE004785","PS0028","10","2114","2114"
"DE003358","PS0001","10","2024","2125.2"
"DE007531","PS0049","14","2162","2378.2"
"DE010245","PS0184","6","1840","2208"
"DE010463","PS0022","10","3106","3106"
"DE002011","PS0161","15","2912","2912"
"DE002664","PS0110","4","2038","2241.8"
"DE003988","PS0195","9","2296","2296"
"DE004830","PS0075","9","3943","4140.15"
"DE006591","PS0139","10","3529","3705.45"
"DE004136","PS0014","18","3304","3469.2"
"DE006613","PS0070","13","1148","1148"
"DE004052","PS0037","6","4777","5015.85"
"DE008252","PS0101","19","4494","5392.8"
"DE007399","PS0182","13","4712","4947.6"
"DE001382","PS0156","9","1047","1151.7"
"DE009326","PS0073","3","1367","1435.35"
"DE002463","PS0073","6","1367","1435.35"
"DE006031","PS0090","11","2587","3104.4"
"DE004317","PS0053","12","1852","2037.2"
"DE009490","PS0159","8","1547","1624.35"
"DE009693","PS0050","10","2801","3361.2"
"DE005532","PS0020","14","4856","5341.6"
"DE004589","PS0029","17","4104","4309.2"
"DE009099","PS0069","1","873","960.3"
"DE006975","PS0045","15","3895","4674"
"DE004926","PS0084","11","1596","1675.8"
"DE008125","PS0093","7","2999","3148.95"
"DE001438","PS0128","12","1185","1244.25"
"DE000864","PS0024","6","4289","5146.8"
"DE007452","PS0058","7","3666","4399.2"
"DE003780","PS0020","9","4856","5341.6"
"DE009962","PS0077","7","4739","5212.9"
"DE003567","PS0088","16","1464","1610.4"
"DE009051","PS0066","16","2450","2450"
"DE007158","PS0180","19","2164","2272.2"
"DE003835","PS0103","17","1326","1458.6"
"DE009724","PS0106","5","2784","3340.8"
"DE010702","PS0090","7","2587","3104.4"
"DE004912","PS0184","13","1840","2208"
"DE008750","PS0192","8","3081","3389.1"
"DE005953","PS0165","20","862","905.1"
"DE010708","PS0039","10","737","773.85"
"DE005226","PS0033","16","1340","1340"
"DE005871","PS0052","15","3823","3823"
"DE000281","PS0061","3","1652","1817.2"
"DE007230","PS0191","8","1646","1728.3"
"DE010725","PS0105","2","2785","2924.25"
"DE009450","PS0064","11","2959","3254.9"
"DE003671","PS0038","17","3432","3432"
"DE002486","PS0136","6","3166","3482.6"
"DE003016","PS0008","4","2258","2258"
"DE006549","PS0045","11","3895","4674"
"DE003392","PS0092","20","1266","1266"
"DE010528","PS0048","8","2078","2493.6"
"DE007488","PS0083","16","4750","5700"
"DE000028","PS0059","14","4993","5242.65"
"DE004126","PS0025","20","4960","5208"
"DE004786","PS0104","13","3030","3636"
"DE000956","PS0193","9","4880","4880"
"DE007553","PS0180","12","2164","2272.2"
"DE003497","PS0094","12","2548","2802.8"
"DE008070","PS0031","1","3309","3474.45"
"DE000014","PS0027","20","1108","1329.6"
"DE004532","PS0104","16","3030","3636"
"DE000087","PS0138","20","2809","2949.45"
"DE006476","PS0198","18","3668","4401.6"
"DE004602","PS0020","8","4856","5341.6"
"DE007649","PS0165","19","862","905.1"
"DE000892","PS0045","8","3895","4674"
"DE003805","PS0140","5","4874","4874"
"DE002211","PS0023","10","3479","3479"
"DE003234","PS0173","9","4850","4850"
"DE001987","PS0141","7","3556","3733.8"
"DE007941","PS0112","18","2886","3463.2"
"DE009842","PS0193","18","4880","4880"
"DE003634","PS0157","10","596","596"
"DE004093","PS0196","9","3273","3927.6"
"DE010237","PS0186","2","3126","3438.6"
"DE006146","PS0088","10","1464","1610.4"
"DE004224","PS0164","10","1809","1809"
"DE009134","PS0030","14","3765","4141.5"
"DE000072","PS0138","7","2809","2949.45"
"DE009611","PS0084","14","1596","1675.8"
"DE003042","PS0030","15","3765","4141.5"
"DE001123","PS0169","10","2716","3259.2"
"DE001834","PS0011","6","4911","4911"
"DE001083","PS0073","13","1367","1435.35"
"DE007049","PS0144","15","613","613"
"DE005684","PS0045","2","3895","4674"
"DE006502","PS0051","15","1179","1414.8"
"DE005004","PS0065","19","3011","3011"
"DE009096","PS0139","11","3529","3705.45"
"DE006853","PS0075","15","3943","4140.15"
"DE008485","PS0139","18","3529","3705.45"
"DE010758","PS0165","12","862","905.1"
"DE002764","PS0174","17","1507","1582.35"
"DE001848","PS0035","14","3653","4383.6"
"DE006131","PS0115","12","4570","5027"
"DE003906","PS0136","19","3166","3482.6"
"DE006948","PS0169","10","2716","3259.2"
"DE004607","PS0081","13","3916","4307.6"
"DE007734","PS0194","17","4157","4572.7"
"DE005677","PS0106","15","2784","3340.8"
"DE010523","PS0053","7","1852","2037.2"
"DE000348","PS0022","5","3106","3106"
"DE005389","PS0098","14","3639","3820.95"
"DE007269","PS0054","2","798","877.8"
"DE000365","PS0062","10","2182","2291.1"
"DE004811","PS0132","17","3369","4042.8"
"DE004937","PS0026","5","2578","3093.6"
"DE003507","PS0019","13","4815","4815"
"DE000163","PS0161","12","2912","2912"
"DE002175","PS0158","8","4083","4083"
"DE008137","PS0088","12","1464","1610.4"
"DE010830","PS0089","8","3356","3356"
"DE009636","PS0010","5","4373","4591.65"
"DE008354","PS0143","15","4067","4473.7"
"DE008760","PS0007","17","2921","3213.1"
"DE002344","PS0169","9","2716","3259.2"
"DE006989","PS0185","11","2944","3091.2"
"DE005981","PS0174","7","1507","1582.35"
"DE003538","PS0095","5","3247","3247"
"DE000513","PS0015","18","4308","4738.8"
"DE007455","PS0165","13","862","905.1"
"DE005762","PS0058","20","3666","4399.2"
"DE003534","PS0153","15","4044","4448.4"
"DE001946","PS0151","19","4869","5355.9"
"DE003346","PS0012","15","3469","4162.8"
"DE010859","PS0084","5","1596","1675.8"
"DE006647","PS0053","7","1852","2037.2"
"DE003258","PS0115","5","4570","5027"
"DE000667","PS0017","14","3898","3898"
"DE004429","PS0151","19","4869","5355.9"
"DE002264","PS0081","8","3916","4307.6"
"DE010899","PS0143","10","4067","4473.7"
"DE007217","PS0064","13","2959","3254.9"
"DE006750","PS0092","13","1266","1266"
"DE007125","PS0176","20","1902","1902"
"DE010370","PS0101","1","4494","5392.8"
"DE008642","PS0196","8","3273","3927.6"
"DE003288","PS0034","14","2908","2908"
"DE004899","PS0010","18","4373","4591.65"
"DE004970","PS0057","9","2855","3140.5"
"DE007700","PS0075","13","3943","4140.15"
"DE007666","PS0045","20","3895","4674"
"DE004384","PS0042","17","3772","4526.4"
"DE008186","PS0017","6","3898","3898"
"DE003778","PS0026","17","2578","3093.6"
"DE004238","PS0101","8","4494","5392.8"
"DE008497","PS0106","4","2784","3340.8"
"DE002999","PS0174","4","1507","1582.35"
"DE007654","PS0063","19","1391","1669.2"
"DE008701","PS0121","6","4246","4458.3"
"DE007320","PS0106","14","2784","3340.8"
"DE010402","PS0105","13","2785","2924.25"
"DE009632","PS0170","11","3820","4202"
"DE008885","PS0194","6","4157","4572.7"
"DE000752","PS0005","5","1255","1255"
"DE009103","PS0156","11","1047","1151.7"
"DE010342","PS0137","5","2907","3052.35"
"DE003691","PS0058","6","3666","4399.2"
"DE008605","PS0178","15","2534","2660.7"
"DE008325","PS0072","19","4112","4523.2"
"DE006348","PS0082","10","4269","4695.9"
"DE010815","PS0124","4","2519","2519"
"DE007662","PS0039","9","737","773.85"
"DE008539","PS0119","15","831","914.1"
"DE006277","PS0199","1","1317","1580.4"
"DE010479","PS0062","20","2182","2291.1"
"DE001008","PS0079","6","1943","1943"
"DE002632","PS0061","19","1652","1817.2"
"DE005157","PS0151","8","4869","5355.9"
"DE009214","PS0065","7","3011","3011"
"DE004729","PS0080","16","2482","2482"
"DE010710","PS0190","8","822","863.1"
"DE001059","PS0123","14","2137","2564.4"
"DE003041","PS0192","6","3081","3389.1"
"DE004497","PS0018","6","4405","4845.5"
"DE004974","PS0171","8","1863","1956.15"
"DE003753","PS0021","12","1716","1801.8"
"DE002900","PS0119","8","831","914.1"
"DE010706","PS0148","10","3503","3678.15"
"DE007629","PS0190","13","822","863.1"
"DE008736","PS0090","2","2587","3104.4"
"DE003257","PS0063","3","1391","1669.2"
"DE002649","PS0122","8","1558","1635.9"
"DE000584","PS0098","17","3639","3820.95"
"DE009144","PS0117","20","4835","5802"
"DE002557","PS0032","8","1857","1949.85"
"DE008915","PS0056","20","3253","3578.3"
"DE009698","PS0176","13","1902","1902"
"DE004743","PS0016","6","4420","5304"
"DE005147","PS0008","3","2258","2258"
"DE006585","PS0124","19","2519","2519"
"DE000313","PS0016","17","4420","5304"
"DE005020","PS0166","3","2363","2481.15"
"DE001695","PS0158","19","4083","4083"
"DE001222","PS0071","8","1285","1349.25"
"DE010691","PS0070","14","1148","1148"
"DE001006","PS0028","11","2114","2114"
"DE006795","PS0082","4","4269","4695.9"
"DE008239","PS0044","3","894","983.4"
"DE005462","PS0080","5","2482","2482"
"DE000062","PS0037","17","4777","5015.85"
"DE008555","PS0103","7","1326","1458.6"
"DE006414","PS0012","19","3469","4162.8"
"DE006126","PS0008","18","2258","2258"
"DE002020","PS0109","13","924","924"
"DE004873","PS0056","16","3253","3578.3"
"DE005633","PS0087","11","2181","2181"
"DE000861","PS0187","15","3333","3499.65"
"DE003733","PS0118","3","3828","4210.8"
"DE007826","PS0123","8","2137","2564.4"
"DE006675","PS0180","4","2164","2272.2"
"DE005365","PS0069","11","873","960.3"
"DE010638","PS0100","10","1714","2056.8"
"DE005636","PS0179","19","3886","4274.6"
"DE007746","PS0071","12","1285","1349.25"
"DE001368","PS0037","1","4777","5015.85"
"DE010920","PS0179","14","3886","4274.6"
"DE007293","PS0086","18","4872","5846.4"
"DE001608","PS0191","13","1646","1728.3"
"DE004933","PS0071","1","1285","1349.25"
"DE001793","PS0133","5","1869","2242.8"
"DE001344","PS0091","6","4055","4460.5"
"DE006903","PS0189","9","1018","1018"
"DE009304","PS0158","15","4083","4083"
"DE001536","PS0063","13","1391","1669.2"
"DE005483","PS0113","12","1421","1421"
"DE008190","PS0184","8","1840","2208"
"DE000617","PS0196","14","3273","3927.6"
"DE006499","PS0096","18","2802","2942.1"
"DE010838","PS0180","17","2164","2272.2"
"DE006346","PS0149","7","1409","1409"
"DE002261","PS0159","4","1547","1624.35"
"DE007605","PS0087","12","2181","2181"
"DE004477","PS0005","7","1255","1255"
"DE006335","PS0091","18","4055","4460.5"
"DE003159","PS0006","2","2045","2249.5"
"DE000083","PS0023","2","3479","3479"
"DE003675","PS0097","4","3905","4686"
"DE005414","PS0114","5","3975","4372.5"
"DE001920","PS0091","8","4055","4460.5"
"DE007425","PS0108","4","2728","3000.8"
"DE003277","PS0122","13","1558","1635.9"
"DE010493","PS0163","4","1728","1728"
"DE002118","PS0128","6","1185","1244.25"
"DE008763","PS0073","5","1367","1435.35"
"DE008363","PS0087","1","2181","2181"
