"ID_DEVIS","DT_DEVIS","ID_CLIENT"
"DE000169","2024-07-05","GM-144401408"
"DE000170","2023-11-11","CM-12190102"
"DE000171","2023-03-13","SC-2038093"
"DE000172","2023-08-23","DB-1340548"
"DE000173","2024-06-27","AF-108701406"
"DE000174","2023-12-22","CK-1220564"
"DE000175","2023-07-23","GT-14710139"
"DE000176","2023-01-27","KL-1664582"
"DE000177","2023-12-13","CM-124451404"
"DE000178","2023-01-12","LS-1724518"
"DE000179","2024-05-13","AR-82538"
"DE000180","2023-04-16","GH-14665127"
"DE000181","2023-08-09","DP-13105118"
"DE000182","2023-11-07","SJ-20500113"
"DE000183","2023-12-24","CB-2025103"
"DE000184","2023-03-18","DK-1309051"
"DE000185","2024-06-24","AS-24023"
"DE000186","2023-08-11","ER-13855139"
"DE000187","2023-11-17","NM-8445107"
"DE000188","2024-03-05","JF-1519055"
"DE000189","2023-11-10","Dl-136001404"
"DE000190","2023-10-20","BS-1138045"
"DE000191","2023-05-31","GP-147401406"
"DE000192","2024-06-28","AJ-109451404"
"DE000193","2023-01-10","BS-1175545"
"DE000194","2023-05-28","LB-1673539"
"DE000195","2023-08-29","MC-1727548"
"DE000196","2023-04-15","FO-1430545"
"DE000197","2024-05-04","AR-1054082"
"DE000198","2023-11-03","RD-9720134"
"DE000199","2023-03-06","SS-2059078"
"DE000200","2023-07-15","TB-2125018"
"DE000201","2024-05-15","NF-1838545"
"DE000202","2024-01-24","AF-1087027"
"DE000203","2023-06-07","DC-1328597"
"DE000204","2023-09-28","AW-1084092"
"DE000205","2024-01-03","JG-151607"
"DE000206","2023-05-16","JW-1595531"
"DE000207","2024-06-13","GZ-1454548"
"DE000208","2023-04-30","NM-1844593"
"DE000209","2024-03-16","KN-6705134"
"DE000210","2024-01-01","KE-1642045"
"DE000211","2023-12-23","BM-1178548"
"DE000212","2024-05-22","NR-185507"
"DE000213","2023-01-12","NG-184301404"
"DE000214","2024-02-27","NG-835595"
"DE000215","2024-02-26","AG-1030055"
"DE000216","2023-05-04","ED-388595"
"DE000217","2024-03-27","NK-184907"
"DE000218","2023-10-04","AJ-79560"
"DE000219","2023-10-09","TB-2152097"
"DE000220","2023-02-09","JP-1546027"
"DE000221","2024-05-16","EM-14095139"
"DE000222","2024-03-29","LT-1711039"
"DE000223","2024-07-17","AJ-107801406"
"DE000224","2023-10-13","GT-1463548"
"DE000225","2023-06-25","DL-3495134"
"DE000226","2024-05-04","LW-1721582"
"DE000227","2023-04-09","BC-1112514"
"DE000228","2024-03-30","BB-1099036"
"DE000229","2023-02-26","MK-1816058"
"DE000230","2023-09-08","BG-116957"
"DE000231","2023-10-05","CR-1262539"
"DE000232","2024-03-27","MG-1789097"
"DE000233","2023-12-26","FW-1439512"
"DE000234","2023-08-07","RE-1940582"
"DE000235","2024-01-17","MM-1726051"
"DE000236","2023-07-05","NP-8670137"
"DE000237","2023-04-09","NF-1838548"
"DE000238","2024-07-22","BM-1114048"
"DE000239","2023-07-12","NL-8310134"
"DE000240","2023-08-20","AA-1037558"
"DE000241","2023-01-23","GB-1457555"
"DE000242","2024-05-11","MK-816023"
"DE000243","2024-07-02","AB-1060097"
"DE000244","2023-06-18","DJ-1363098"
"DE000245","2024-01-26","MC-759086"
"DE000246","2024-04-16","DA-13450120"
"DE000247","2024-05-15","CG-2040147"
"DE000248","2023-02-18","KH-6360110"
"DE000249","2023-11-27","SZ-2003582"
"DE000250","2023-08-19","ML-17755130"
"DE000251","2023-07-17","SK-1999051"
"DE000252","2023-12-19","MH-1811511"
"DE000253","2023-11-26","MC-172751404"
"DE000254","2024-04-05","SW-202751408"
"DE000255","2024-06-08","EB-13840139"
"DE000256","2023-03-19","CA-226561"
"DE000257","2024-01-11","SV-2081545"
"DE000258","2023-10-26","GG-1465058"
"DE000259","2023-02-08","BD-172530"
"DE000260","2024-01-30","DM-13345143"
"DE000261","2023-07-26","MH-7785134"
"DE000262","2024-03-24","BG-174060"
"DE000263","2023-07-04","HD-1478559"
"DE000264","2023-06-17","RD-1972082"
"DE000265","2023-05-31","AC-66022"
"DE000266","2023-03-27","Dp-1324028"
"DE000267","2023-10-17","AG-1052558"
"DE000268","2024-03-21","AB-1001564"
"DE000269","2023-04-07","ME-801033"
"DE000270","2023-07-19","CS-186061"
"DE000271","2023-11-04","AH-1012039"
"DE000272","2023-12-04","PG-1882097"
"DE000273","2023-12-07","CS-119501402"
"DE000274","2023-06-21","MS-17980143"
"DE000275","2024-03-04","JB-1604592"
"DE000276","2023-04-16","EH-1394518"
"DE000277","2024-05-11","TH-11115129"
"DE000278","2023-02-10","GM-1445598"
"DE000279","2024-02-28","RR-195251408"
"DE000280","2023-01-14","HP-1481531"
"DE000281","2024-01-12","IL-5100134"
"DE000282","2023-09-06","TH-2123536"
"DE000283","2023-10-22","HF-4995145"
"DE000284","2024-03-31","PF-19120102"
"DE000285","2023-06-09","JM-5250122"
"DE000286","2023-07-14","JG-15805139"
"DE000287","2023-02-09","AC-106151406"
"DE000288","2023-11-11","JM-156558"
"DE000289","2023-10-18","TC-2153564"
"DE000290","2024-02-24","EM-1420018"
"DE000291","2024-02-17","MY-7380110"
"DE000292","2023-08-12","EH-1412545"
"DE000293","2023-05-05","PO-886595"
"DE000294","2023-10-31","KN-1670545"
"DE000295","2023-03-27","BS-113651404"
"DE000296","2024-05-07","BT-114407"
"DE000297","2023-07-21","MC-1742592"
"DE000298","2023-02-05","SJ-2050098"
"DE000299","2024-03-03","RB-1964518"
"DE000300","2023-10-15","SC-10845137"
"DE000301","2023-05-23","CR-282060"
"DE000302","2024-04-22","RD-1990027"
"DE000303","2023-07-09","CJ-1201098"
"DE000304","2023-07-10","DK-133751404"
"DE000305","2023-09-05","HG-148451406"
"DE000306","2024-01-22","AS-24019"
"DE000307","2024-05-09","AP-72057"
"DE000308","2023-06-19","TA-1138533"
"DE000309","2023-05-24","LB-16795130"
"DE000310","2023-02-22","EM-14200102"
"DE000311","2024-05-14","DE-13255143"
"DE000312","2023-06-13","MG-1787548"
"DE000313","2023-06-13","MM-1792091"
"DE000314","2024-01-25","SC-2026059"
"DE000315","2023-01-03","HR-48303"
"DE000316","2023-05-27","CL-270029"
"DE000317","2024-01-17","SB-2018593"
"DE000318","2023-05-14","BE-1133582"
"DE000319","2023-11-09","AB-10150143"
"DE000320","2023-05-08","KC-654069"
"DE000321","2024-05-18","CS-1186064"
"DE000322","2024-04-26","LD-700560"
"DE000323","2023-09-18","RD-196607"
"DE000324","2024-05-24","KH-165101404"
"DE000325","2024-02-03","VF-2171566"
"DE000326","2024-02-08","JA-159701404"
"DE000327","2023-05-11","MC-1757598"
"DE000328","2024-01-18","TH-1155095"
"DE000329","2023-06-23","TS-2150545"
"DE000330","2023-10-05","JC-1534082"
"DE000331","2023-03-23","DB-132701402"
"DE000332","2024-06-13","LW-17215102"
"DE000333","2024-06-08","LC-169301402"
"DE000334","2023-12-21","CS-1246055"
"DE000335","2024-05-16","JF-541549"
"DE000336","2024-06-29","JC-1610559"
"DE000337","2023-01-09","CC-1255039"
"DE000338","2023-10-09","EM-141401404"
"DE000339","2024-07-05","ON-1871582"
"DE000340","2024-03-27","AS-102401404"
"DE000341","2024-07-09","EM-396038"
"DE000342","2024-05-03","SW-20455118"
"DE000343","2024-03-31","EB-1417051"
"DE000344","2024-06-08","BC-11253"
"DE000345","2024-04-30","CM-12160118"
"DE000346","2023-10-21","DM-1295558"
"DE000347","2023-12-13","HK-1489064"
"DE000348","2023-03-17","HW-493560"
"DE000349","2024-03-22","PJ-19015143"
"DE000350","2023-09-20","FW-1439559"
"DE000351","2023-08-08","BT-11680144"
"DE000352","2024-06-24","MB-1730548"
"DE000353","2024-06-17","YS-2188058"
"DE000354","2023-07-16","BW-1111027"
"DE000355","2024-05-28","GR-456060"
"DE000356","2024-01-05","LO-171701406"
"DE000357","2023-11-09","LH-1675027"
"DE000358","2023-12-15","MH-1745548"
"DE000359","2023-06-20","CS-1235559"
"DE000360","2024-06-08","SS-2087566"
"DE000361","2024-02-12","MH-174401402"
"DE000362","2023-03-06","PP-1895551"
"DE000363","2024-07-16","BD-132060"
"DE000364","2023-09-17","JD-1579031"
"DE000365","2023-09-25","SO-2033582"
"DE000366","2024-01-16","HM-49806"
"DE000367","2024-01-26","RW-1954048"
"DE000368","2023-09-13","AB-106007"
"DE000369","2023-11-10","JK-153251404"
"DE000370","2023-09-19","NP-18685139"
"DE000371","2024-06-15","GM-4440110"
"DE000372","2023-10-05","LL-684086"
"DE000373","2023-04-12","KB-165857"
"DE000374","2024-04-18","JE-157451406"
"DE000375","2024-05-23","CM-1219045"
"DE000376","2023-01-28","TT-212201402"
"DE000377","2023-05-25","DD-1357045"
"DE000378","2023-08-21","PF-19120102"
"DE000379","2023-09-13","DF-1313548"
"DE000380","2023-12-21","RD-196601402"
"DE000381","2024-02-08","AM-107051406"
"DE000382","2023-04-25","RA-199151408"
"DE000383","2023-07-10","EM-1420055"
"DE000384","2023-07-19","MC-1760593"
"DE000385","2024-03-23","JF-15355118"
"DE000386","2023-02-20","SC-208451404"
"DE000387","2024-06-26","NM-1844518"
"DE000388","2023-12-06","DL-1292592"
"DE000389","2023-11-15","CC-1247559"
"DE000390","2023-03-23","GM-146801406"
"DE000391","2024-07-14","TC-1114560"
"DE000392","2023-10-30","TC-2147582"
"DE000393","2024-01-30","AG-1030092"
"DE000394","2023-05-25","TS-216101404"
"DE000395","2023-02-16","BT-153060"
"DE000396","2023-07-28","MG-1814545"
"DE000397","2023-07-10","SP-2062011"
"DE000398","2023-11-19","TB-2125018"
"DE000399","2023-09-19","DO-134351408"
"DE000400","2024-06-01","NS-864060"
"DE000401","2023-07-22","LW-169901404"
"DE000402","2023-03-05","MY-1829582"
"DE000403","2023-05-06","RD-1972031"
"DE000404","2023-03-01","GK-1462036"
"DE000405","2023-09-28","AA-1064556"
"DE000406","2024-03-13","TS-2165591"
"DE000407","2023-01-11","CL-270038"
"DE000408","2023-12-02","JR-1621045"
"DE000409","2023-11-23","DE-1325598"
"DE000410","2023-08-23","EM-13810139"
"DE000411","2023-03-01","JM-1586597"
"DE000412","2023-12-28","MH-8115134"
"DE000413","2023-11-19","JR-567086"
"DE000414","2023-01-07","RD-1990028"
"DE000415","2023-07-30","MC-172757"
"DE000416","2023-09-08","RW-195401402"
"DE000417","2023-09-05","MK-18160139"
"DE000418","2023-01-24","CC-1210064"
"DE000419","2023-10-06","BD-1177027"
"DE000420","2024-02-01","CA-127751406"
"DE000421","2023-01-22","DM-1301592"
"DE000422","2023-11-22","RB-1933028"
"DE000423","2023-10-09","DD-35708"
"DE000424","2023-06-05","TC-11295117"
"DE000425","2023-03-26","MB-180851402"
"DE000426","2023-02-09","TS-212051408"
"DE000427","2023-12-22","NP-8685117"
"DE000428","2024-02-08","FH-1436527"
"DE000429","2023-04-01","JM-1553545"
"DE000430","2023-12-10","JR-6210134"
"DE000431","2024-02-26","GM-14680124"
"DE000432","2023-05-29","SC-2044031"
"DE000433","2024-06-11","TB-2140031"
"DE000434","2023-03-16","TZ-2144582"
"DE000435","2023-01-20","CA-1277558"
"DE000436","2023-06-23","NC-1834059"
"DE000437","2024-04-27","AF-1087055"
"DE000438","2023-04-06","MH-174401404"
"DE000439","2024-01-07","TP-11565108"
"DE000440","2023-09-06","KD-164951404"
"DE000441","2024-02-12","SS-2087548"
"DE000442","2023-03-05","SP-2092082"
"DE000443","2024-04-01","JA-1597064"
"DE000444","2023-03-11","SC-2044031"
"DE000445","2023-10-11","MG-1820518"
"DE000446","2023-02-13","DH-30754"
"DE000447","2023-03-06","AY-1055548"
"DE000448","2023-07-08","JG-1531039"
"DE000449","2024-01-14","KB-1640548"
"DE000450","2023-03-17","DM-1352558"
"DE000451","2023-05-24","FH-1436539"
"DE000452","2023-01-11","MC-1757518"
"DE000453","2023-05-08","VW-217751406"
"DE000454","2023-05-04","TG-11640129"
"DE000455","2023-01-27","MS-1771039"
"DE000456","2024-05-23","CM-2385117"
"DE000457","2024-05-25","BH-1710110"
"DE000458","2023-01-14","BF-127577"
"DE000459","2023-04-08","ED-138851402"
"DE000460","2024-01-28","SW-2024548"
"DE000461","2023-03-27","IM-1507051"
"DE000462","2024-01-18","SC-2030545"
"DE000463","2023-12-23","ON-1871548"
"DE000464","2023-10-23","SP-20620139"
"DE000465","2023-04-14","FM-1438027"
"DE000466","2023-06-29","KT-1646548"
"DE000467","2024-01-13","DK-1283597"
"DE000468","2024-04-05","JG-151157"
"DE000469","2023-01-27","FA-1423048"
"DE000470","2023-06-03","CB-120257"
"DE000471","2023-04-04","FH-143501408"
"DE000472","2023-05-18","AS-22523"
"DE000473","2024-05-22","MY-7380117"
"DE000474","2024-04-03","DD-357063"
"DE000475","2024-06-26","BP-109561"
"DE000476","2024-06-12","JL-1513018"
"DE000477","2024-06-07","MH-811577"
"DE000478","2023-09-22","AR-108251404"
"DE000479","2023-06-07","AJ-109607"
"DE000480","2024-06-09","JE-154751404"
"DE000481","2023-02-08","AF-87061"
"DE000482","2023-09-11","CG-125201402"
"DE000483","2023-12-04","CC-1243045"
"DE000484","2024-02-23","FC-143351406"
"DE000485","2024-03-06","DC-285061"
"DE000486","2024-05-19","AA-375134"
"DE000487","2024-03-10","JL-5235110"
"DE000488","2023-03-24","KC-625538"
"DE000489","2024-02-10","SV-209351406"
"DE000490","2023-01-07","DE-132551404"
"DE000491","2023-08-25","DG-330022"
"DE000492","2023-11-18","CS-1225051"
"DE000493","2023-03-07","AM-10360101"
"DE000494","2024-06-08","ML-1775592"
"DE000495","2024-03-23","CW-1190582"
"DE000496","2024-02-10","SC-207701406"
"DE000497","2024-02-14","BF-1100591"
"DE000498","2024-02-07","DW-134801408"
"DE000499","2023-03-18","PF-1922582"
"DE000500","2024-01-26","MV-174851402"
"DE000501","2023-11-03","BP-1123031"
"DE000502","2023-08-20","JG-153101404"
"DE000503","2023-12-27","EG-13900143"
"DE000504","2024-05-23","MS-1777096"
"DE000505","2023-01-03","SS-2059062"
"DE000506","2023-10-14","MS-17710113"
"DE000507","2023-06-14","ND-18460102"
"DE000508","2024-01-14","JC-1610591"
"DE000509","2023-05-16","MK-1790588"
"DE000510","2023-10-18","PT-1909045"
"DE000511","2023-04-06","EB-139757"
"DE000512","2024-04-01","HE-4800129"
"DE000513","2024-06-05","MS-783068"
"DE000514","2023-09-08","TC-2147518"
"DE000515","2024-07-06","LR-691560"
"DE000516","2023-10-31","NC-1834045"
"DE000517","2023-07-22","AR-1082555"
"DE000518","2023-11-02","HK-1489031"
"DE000519","2023-09-28","TM-2149048"
"DE000520","2023-10-10","JE-15745102"
"DE000521","2023-12-16","CJ-1201064"
"DE000522","2023-07-26","CK-123251408"
"DE000523","2023-06-13","DK-289586"
"DE000524","2023-03-16","QJ-1925536"
"DE000525","2023-07-04","HD-1478518"
"DE000526","2023-08-19","KB-660023"
"DE000527","2023-07-19","TS-2120548"
"DE000528","2024-04-28","BF-1097559"
"DE000529","2024-06-11","FH-1427514"
"DE000530","2023-04-22","MT-178157"
"DE000531","2024-04-13","IM-150701408"
"DE000532","2024-02-11","SC-2072558"
"DE000533","2023-03-19","AH-1007582"
"DE000534","2023-10-14","BN-1147039"
"DE000535","2024-04-04","DK-1315082"
"DE000536","2023-02-22","CV-1229588"
"DE000537","2024-01-05","EN-13780101"
"DE000538","2023-02-02","MM-8280108"
"DE000539","2023-11-20","NP-867038"
"DE000540","2023-02-27","CL-256579"
"DE000541","2024-01-07","ME-1772558"
"DE000542","2024-05-01","DW-1319582"
"DE000543","2024-06-06","RS-942015"
"DE000544","2024-06-12","BD-1150093"
"DE000545","2023-03-17","PP-1895566"
"DE000546","2023-04-15","LH-1715592"
"DE000547","2024-06-12","BF-121595"
"DE000548","2023-01-10","DK-1315059"
"DE000549","2023-11-27","NZ-185657"
"DE000550","2023-12-30","BD-1725108"
"DE000551","2023-08-04","VD-21670139"
"DE000552","2024-01-11","HZ-149508"
"DE000553","2023-11-10","SS-10515122"
"DE000554","2024-05-15","AD-1018031"
"DE000555","2024-05-20","BF-11080118"
"DE000556","2023-12-02","MK-816061"
"DE000557","2023-08-29","CM-2235134"
"DE000558","2023-08-06","CM-1238558"
"DE000559","2024-06-28","KH-1663098"
"DE000560","2024-01-07","MG-1789097"
"DE000561","2023-01-26","SS-1041061"
"DE000562","2023-04-05","JJ-544568"
"DE000563","2024-04-22","JO-1528051"
"DE000564","2023-09-05","FC-424561"
"DE000565","2023-11-25","LS-1724518"
"DE000566","2024-02-02","SH-9975110"
"DE000567","2023-04-14","LC-1705048"
"DE000568","2023-05-25","NP-867047"
"DE000569","2023-03-17","CW-119051402"
"DE000570","2023-02-28","GZ-14545118"
"DE000571","2023-06-05","KH-6630110"
"DE000572","2023-04-16","CC-1214580"
"DE000573","2023-07-31","LH-1690045"
"DE000574","2024-07-18","TP-2113099"
"DE000575","2024-06-01","CM-119358"
"DE000576","2024-06-06","SC-2077082"
"DE000577","2024-03-15","DP-316549"
"DE000578","2024-02-22","JR-162101402"
"DE000579","2024-07-03","SB-202901402"
"DE000580","2023-10-05","RP-1985591"
"DE000581","2024-04-18","MT-1807058"
"DE000582","2024-01-20","OT-187301402"
"DE000583","2024-04-30","AC-1042027"
"DE000584","2024-03-02","AH-102105"
"DE000585","2023-06-14","HD-1478559"
"DE000586","2023-01-02","CJ-1187518"
"DE000587","2024-01-10","BP-1123018"
"DE000588","2023-05-13","JL-1583527"
"DE000589","2023-01-16","GP-1474031"
"DE000590","2024-05-18","GD-459095"
"DE000591","2023-10-28","SW-1045595"
"DE000592","2023-02-25","TT-212201408"
"DE000593","2023-04-30","DL-1331582"
"DE000594","2023-04-05","AG-102701402"
"DE000595","2023-01-13","AH-1003033"
"DE000596","2023-12-28","MA-175607"
"DE000597","2023-10-04","TT-2122055"
"DE000598","2024-02-06","BF-1127536"
"DE000599","2023-12-06","TT-2107099"
"DE000600","2024-02-20","RO-978070"
"DE000601","2023-01-04","GM-469579"
"DE000602","2023-03-06","TB-2117531"
"DE000603","2023-12-03","SV-1078529"
"DE000604","2024-02-26","JK-1520539"
"DE000605","2023-12-02","CC-123701406"
"DE000606","2024-02-23","Co-126407"
"DE000607","2024-06-09","DK-1337527"
"DE000608","2023-12-28","TT-210707"
"DE000609","2023-03-29","KM-167205"
"DE000610","2023-09-22","JP-1613555"
"DE000611","2023-07-13","SC-2084518"
"DE000612","2023-11-07","JK-5730108"
"DE000613","2023-03-03","AH-1021014"
"DE000614","2023-10-21","LT-1676592"
"DE000615","2023-03-06","EB-3840134"
"DE000616","2023-07-07","BP-109595"
"DE000617","2024-01-20","KN-1639051"
"DE000618","2023-07-10","LD-6855110"
"DE000619","2023-03-27","AF-10870118"
"DE000620","2023-01-27","SS-201407"
"DE000621","2023-05-20","JB-6000137"
"DE000622","2023-05-19","MG-768095"
"DE000623","2024-02-28","JH-161801404"
"DE000624","2023-06-10","JR-570033"
"DE000625","2023-09-28","MS-177701404"
"DE000626","2023-03-31","BG-1740134"
"DE000627","2023-07-30","BS-1136518"
"DE000628","2023-09-22","JE-547560"
"DE000629","2023-03-20","CC-126101406"
"DE000630","2023-12-21","GM-146957"
"DE000631","2023-04-29","NB-18580102"
"DE000632","2023-07-28","YS-1188060"
"DE000633","2023-12-17","SC-2002031"
"DE000634","2023-08-06","PK-907533"
"DE000635","2023-06-04","ES-4080117"
"DE000636","2024-05-25","DL-133151406"
"DE000637","2023-10-26","DK-1298593"
"DE000638","2023-06-05","AB-1016558"
"DE000639","2023-01-28","AH-10585139"
"DE000640","2023-01-09","KH-633086"
"DE000641","2024-04-07","RD-19810120"
"DE000642","2023-03-26","MH-1762059"
"DE000643","2024-02-16","EG-390077"
"DE000644","2024-02-16","AC-1066048"
"DE000645","2023-10-31","PN-1877588"
"DE000646","2023-07-25","ML-180407"
"DE000647","2024-01-06","TB-2162588"
"DE000648","2024-04-24","DB-13360139"
"DE000649","2023-03-23","BN-1151527"
"DE000650","2024-01-08","BS-180095"
"DE000651","2023-11-07","CC-237060"
"DE000652","2023-03-18","EP-1391548"
"DE000653","2023-07-04","RA-9885137"
"DE000654","2024-06-06","HF-149951408"
"DE000655","2023-06-08","KW-1643548"
"DE000656","2024-03-10","SM-1032025"
"DE000657","2024-03-04","TZ-2144518"
"DE000658","2023-08-02","BG-174038"
"DE000659","2023-11-29","AR-54033"
"DE000660","2023-02-28","CD-1198082"
"DE000661","2024-04-09","EM-409523"
"DE000662","2023-11-14","PG-1882092"
"DE000663","2023-08-17","SM-10905117"
"DE000664","2023-01-12","SK-199907"
"DE000665","2024-05-22","EG-3900108"
"DE000666","2023-09-19","HH-1501066"
"DE000667","2024-02-17","JE-157451404"
"DE000668","2023-03-02","CM-2715117"
