"ID_REGLEMENT","ID_FACTURE","NB_MONTANT_REGLEMENT"
"RGLT00121","FA025054","1610.4"
"RGLT00122","FA007980","134787.4"
"RGLT00123","FA022913","186428.8"
"RGLT00124","FA007990","55908"
"RGLT00125","FA023956","140143.75"
"RGLT00126","FA019466","81855"
"RGLT00127","FA015020","73312"
"RGLT00128","FA012399","47158"
"RGLT00129","FA024994","83457.95"
"RGLT00130","FA003294","15687"
"RGLT00131","FA002795","68657.25"
"RGLT00132","FA000092","85224"
"RGLT00133","FA024402","68180"
"RGLT00134","FA023446","52026"
"RGLT00135","FA004505","89685.15"
"RGLT00136","FA010066","60364.5"
"RGLT00137","FA022644","35148.4"
"RGLT00138","FA023585","30537.6"
"RGLT00139","FA009335","28506"
"RGLT00140","FA024774","13072.5"
"RGLT00141","FA018444","118839"
"RGLT00142","FA023120","94452"
"RGLT00143","FA007804","270720.3"
"RGLT00144","FA021139","34917.3"
"RGLT00145","FA019936","28908.9"
"RGLT00146","FA022806","57588.3"
"RGLT00147","FA002091","16828.8"
"RGLT00148","FA012579","80895.4"
"RGLT00149","FA021644","87040.3"
"RGLT00150","FA005452","93832.2"
"RGLT00151","FA007421","31223.5"
"RGLT00152","FA015034","31465.7"
"RGLT00153","FA008828","110341"
"RGLT00154","FA001326","15522"
"RGLT00155","FA013639","20053.5"
"RGLT00156","FA005200","39338.25"
"RGLT00157","FA002646","8526"
"RGLT00158","FA006105","18816.6"
"RGLT00159","FA004172","88619.3"
"RGLT00160","FA015066","118810.8"
"RGLT00161","FA016586","59774"
"RGLT00162","FA018727","38800"
"RGLT00163","FA018459","60293.6"
"RGLT00164","FA022576","47141.85"
"RGLT00165","FA022312","126686.5"
"RGLT00166","FA009032","63171"
"RGLT00167","FA022595","190433.85"
"RGLT00168","FA006140","37094.4"
"RGLT00169","FA009502","37818"
"RGLT00170","FA004370","43941.8"
"RGLT00171","FA006292","65347.1"
"RGLT00172","FA002579","91775.25"
"RGLT00173","FA020735","165083.1"
"RGLT00174","FA018146","72638"
"RGLT00175","FA017530","117477.15"
"RGLT00176","FA008173","17368.05"
"RGLT00177","FA017532","18473"
"RGLT00178","FA010515","113013.9"
"RGLT00179","FA022982","257020.15"
"RGLT00180","FA010065","54316.8"
"RGLT00181","FA000811","46472.8"
"RGLT00182","FA020276","131139.8"
"RGLT00183","FA013537","126112.5"
"RGLT00184","FA004783","224185.2"
"RGLT00185","FA005950","69708"
"RGLT00186","FA023411","60175.2"
"RGLT00187","FA020079","63480"
"RGLT00188","FA007932","51187"
"RGLT00189","FA015561","68324.1"
"RGLT00190","FA004887","163435.5"
"RGLT00191","FA007470","45553.2"
"RGLT00192","FA023234","14028"
"RGLT00193","FA003724","47609.8"
"RGLT00194","FA013676","14723.1"
"RGLT00195","FA017164","74136"
"RGLT00196","FA008252","48196.5"
"RGLT00197","FA004759","206319"
"RGLT00198","FA004758","18464.25"
"RGLT00199","FA001365","131210.2"
"RGLT00200","FA000648","58257.5"
"RGLT00201","FA001048","124248.4"
"RGLT00202","FA006005","16816.8"
"RGLT00203","FA013201","7592.2"
"RGLT00204","FA022586","89471"
"RGLT00205","FA010260","92608.6"
"RGLT00206","FA001975","21214"
"RGLT00207","FA017430","40285.05"
"RGLT00208","FA016209","124322.6"
"RGLT00209","FA018703","63917.5"
"RGLT00210","FA001853","1610.4"
"RGLT00211","FA005173","62920"
"RGLT00212","FA018162","86370.9"
"RGLT00213","FA009615","27271.65"
"RGLT00214","FA009575","57237.85"
"RGLT00215","FA024270","10665.9"
"RGLT00216","FA022462","25243.2"
"RGLT00217","FA007633","97778.6"
"RGLT00218","FA011698","45099.6"
"RGLT00219","FA010746","22695.6"
"RGLT00220","FA011537","147207.8"
"RGLT00221","FA007918","42211"
"RGLT00222","FA000737","24820"
"RGLT00223","FA001135","49532.75"
"RGLT00224","FA003030","7855.2"
"RGLT00225","FA023016","112880"
"RGLT00226","FA007116","34840"
"RGLT00227","FA009177","26913.6"
"RGLT00228","FA003077","6297.9"
"RGLT00229","FA000613","70199"
"RGLT00230","FA001977","30832"
"RGLT00231","FA005013","139632.15"
"RGLT00232","FA017606","121180.5"
"RGLT00233","FA023601","12671.4"
"RGLT00234","FA015027","37047.15"
"RGLT00235","FA017369","79390.7"
"RGLT00236","FA009594","22632"
"RGLT00237","FA012568","52038"
"RGLT00238","FA010798","6712"
"RGLT00239","FA004554","36436.4"
"RGLT00240","FA018678","98645.5"
"RGLT00241","FA003153","141944.15"
"RGLT00242","FA014605","22358.7"
"RGLT00243","FA022849","69412"
"RGLT00244","FA006208","41522"
"RGLT00245","FA019839","1266"
"RGLT00246","FA012935","192879.95"
"RGLT00247","FA006393","66117.4"
"RGLT00248","FA024875","107533.1"
"RGLT00249","FA013647","2125.2"
"RGLT00250","FA002771","106117.2"
"RGLT00251","FA013879","70344"
"RGLT00252","FA006902","71349.6"
"RGLT00253","FA006662","79340.8"
"RGLT00254","FA018339","2519"
"RGLT00255","FA012162","33824"
"RGLT00256","FA021976","160898.85"
"RGLT00257","FA004865","22068.9"
"RGLT00258","FA014313","55591"
"RGLT00259","FA006809","36894"
"RGLT00260","FA012028","124380"
"RGLT00261","FA019175","89466"
"RGLT00262","FA013440","51295.2"
"RGLT00263","FA017163","92975.8"
"RGLT00264","FA016103","54278.4"
"RGLT00265","FA008868","31404.3"
"RGLT00266","FA007407","47190"
"RGLT00267","FA017056","23739"
"RGLT00268","FA022344","123629"
"RGLT00269","FA005833","37429.35"
"RGLT00270","FA008922","98034.6"
"RGLT00271","FA000321","44317"
"RGLT00272","FA014360","91044.8"
"RGLT00273","FA001026","84981.6"
"RGLT00274","FA005130","34090"
"RGLT00275","FA007666","36027.6"
"RGLT00276","FA005449","124490.4"
"RGLT00277","FA009170","157653.4"
"RGLT00278","FA017738","81089.95"
"RGLT00279","FA004699","23212.8"
"RGLT00280","FA006590","89210"
"RGLT00281","FA011949","189751.5"
"RGLT00282","FA007287","63050"
"RGLT00283","FA013384","42432"
"RGLT00284","FA005640","7660.8"
"RGLT00285","FA005156","7646"
"RGLT00286","FA011389","29538"
"RGLT00287","FA023001","19989.2"
"RGLT00288","FA017074","92064.5"
"RGLT00289","FA021991","10650.15"
"RGLT00290","FA010844","46159.2"
"RGLT00291","FA022956","142167.8"
"RGLT00292","FA012003","1962"
"RGLT00293","FA021066","24459.2"
"RGLT00294","FA022292","188161.4"
"RGLT00295","FA015642","55118.4"
"RGLT00296","FA018966","102621.6"
"RGLT00297","FA021904","74782.4"
"RGLT00298","FA015342","46204.8"
"RGLT00299","FA024051","208798.55"
"RGLT00300","FA006022","39920"
"RGLT00301","FA002364","70556.2"
"RGLT00302","FA007787","78628.05"
"RGLT00303","FA023372","65222.45"
"RGLT00304","FA020395","35851.3"
"RGLT00305","FA004201","31432"
"RGLT00306","FA002510","70290"
"RGLT00307","FA013184","20065.5"
"RGLT00308","FA014659","87304.8"
"RGLT00309","FA011808","32468.4"
"RGLT00310","FA018752","13711.5"
"RGLT00311","FA005821","115351.2"
"RGLT00312","FA012165","34182.5"
"RGLT00313","FA003687","42171"
"RGLT00314","FA016485","80587.2"
"RGLT00315","FA018350","39371.6"
"RGLT00316","FA018829","17867.85"
"RGLT00317","FA004478","34366.5"
"RGLT00318","FA007615","40626"
"RGLT00319","FA006451","38948.7"
"RGLT00320","FA002808","52458"
"RGLT00321","FA008967","58857.2"
"RGLT00322","FA008839","6703.2"
"RGLT00323","FA025242","121501.4"
"RGLT00324","FA019530","81874.8"
"RGLT00325","FA010832","127169.2"
"RGLT00326","FA012644","44016"
"RGLT00327","FA009686","48849.5"
"RGLT00328","FA012251","67348.35"
"RGLT00329","FA009383","10903.2"
"RGLT00330","FA000625","18663.75"
"RGLT00331","FA003615","135497"
"RGLT00332","FA005636","108738.2"
"RGLT00333","FA012369","5706"
"RGLT00334","FA019957","117554.4"
"RGLT00335","FA006057","24659.8"
"RGLT00336","FA025469","14740"
"RGLT00337","FA004032","89984.95"
"RGLT00338","FA011827","23932.8"
"RGLT00339","FA005274","66424.05"
"RGLT00340","FA017133","161144.1"
"RGLT00341","FA020623","33575.85"
"RGLT00342","FA016876","61824"
"RGLT00343","FA013826","61217"
"RGLT00344","FA005341","62639.35"
"RGLT00345","FA010923","26233.2"
"RGLT00346","FA004352","40737.6"
"RGLT00347","FA022871","138492.8"
"RGLT00348","FA011557","186926.4"
"RGLT00349","FA005937","77811.6"
"RGLT00350","FA018367","30066"
"RGLT00351","FA017941","13381.5"
"RGLT00352","FA002793","14733"
"RGLT00353","FA000216","23257.2"
"RGLT00354","FA008152","123710"
"RGLT00355","FA000359","76292.1"
"RGLT00356","FA017215","3636"
"RGLT00357","FA014024","37641.6"
"RGLT00358","FA000516","174196.4"
"RGLT00359","FA004796","74256"
"RGLT00360","FA012063","14445"
"RGLT00361","FA015085","27340.7"
"RGLT00362","FA005851","45392"
"RGLT00363","FA012519","237143.25"
"RGLT00364","FA007873","64758.6"
"RGLT00365","FA006221","36048.8"
"RGLT00366","FA010862","9937.2"
"RGLT00367","FA002801","21366.4"
"RGLT00368","FA022160","16828.8"
"RGLT00369","FA007073","94292.8"
"RGLT00370","FA016431","37856"
"RGLT00371","FA014362","101943.6"
"RGLT00372","FA016002","68118.6"
"RGLT00373","FA023207","211353.2"
"RGLT00374","FA022667","16828.8"
"RGLT00375","FA018093","36602.4"
"RGLT00376","FA000612","79093.2"
"RGLT00377","FA008975","23623.6"
"RGLT00378","FA008579","39592.8"
"RGLT00379","FA000357","69660"
"RGLT00380","FA025191","91677.15"
"RGLT00381","FA003131","181973.2"
"RGLT00382","FA008338","26276.8"
"RGLT00383","FA023230","21621.6"
"RGLT00384","FA019532","40597.2"
"RGLT00385","FA024083","121881.9"
"RGLT00386","FA009136","27652.1"
"RGLT00387","FA021181","8226.9"
"RGLT00388","FA002144","115384.5"
"RGLT00389","FA013791","44465.4"
"RGLT00390","FA023754","90195.7"
"RGLT00391","FA009772","70219.6"
"RGLT00392","FA022349","119260.8"
"RGLT00393","FA010683","75867"
"RGLT00394","FA025421","25013.65"
"RGLT00395","FA000506","29817.2"
"RGLT00396","FA009868","11116.35"
"RGLT00397","FA011685","13824"
"RGLT00398","FA016094","3726.45"
"RGLT00399","FA000465","22209.6"
"RGLT00400","FA013508","68109.6"
"RGLT00401","FA014319","85074"
"RGLT00402","FA022906","50965.2"
"RGLT00403","FA014578","80858.4"
"RGLT00404","FA001359","91888.5"
"RGLT00405","FA011158","12424.5"
"RGLT00406","FA023081","29414"
"RGLT00407","FA023506","18980.5"
"RGLT00408","FA000513","68020.8"
"RGLT00409","FA012069","60470.1"
"RGLT00410","FA001738","5184"
"RGLT00411","FA003129","52819.2"
"RGLT00412","FA004580","12936"
"RGLT00413","FA004073","111026.1"
"RGLT00414","FA020827","40936.35"
"RGLT00415","FA007001","48837.6"
"RGLT00416","FA011761","96213.5"
"RGLT00417","FA002183","15477"
"RGLT00418","FA012977","46152"
"RGLT00419","FA015336","51321.6"
"RGLT00420","FA019501","33575.85"
"RGLT00421","FA009780","13876.8"
"RGLT00422","FA020437","26791.05"
"RGLT00423","FA001146","39361.3"
"RGLT00424","FA021009","133920.8"
"RGLT00425","FA010990","80505.6"
"RGLT00426","FA022795","22603.2"
"RGLT00427","FA021860","16031.25"
"RGLT00428","FA005838","24480"
"RGLT00429","FA007710","57781.2"
"RGLT00430","FA007815","15746.5"
"RGLT00431","FA008383","77528.4"
"RGLT00432","FA000827","230501.9"
"RGLT00433","FA004070","59767.95"
"RGLT00434","FA025204","50738.7"
"RGLT00435","FA007162","65336.25"
"RGLT00436","FA014069","42848.4"
"RGLT00437","FA004913","156569.2"
"RGLT00438","FA015607","44016"
"RGLT00439","FA012777","58914"
"RGLT00440","FA011431","36909.65"
"RGLT00441","FA009192","112961"
"RGLT00442","FA018929","108939.15"
"RGLT00443","FA004364","25368"
"RGLT00444","FA005271","124115.2"
"RGLT00445","FA017979","25796.4"
"RGLT00446","FA015626","59204.2"
"RGLT00447","FA023567","126576"
"RGLT00448","FA008429","36657.6"
"RGLT00449","FA002591","29365.3"
"RGLT00450","FA001781","35532"
"RGLT00451","FA005788","62768.2"
"RGLT00452","FA018439","73210.8"
"RGLT00453","FA023434","49667.4"
"RGLT00454","FA024816","115911.6"
"RGLT00455","FA014747","126052.6"
"RGLT00456","FA008905","92350.4"
"RGLT00457","FA004531","133239"
"RGLT00458","FA006164","51766.3"
"RGLT00459","FA005385","62920"
"RGLT00460","FA019965","8052"
"RGLT00461","FA004725","40471.2"
"RGLT00462","FA017597","4003.65"
"RGLT00463","FA001369","12550"
"RGLT00464","FA002784","43920"
"RGLT00465","FA011063","57823.5"
"RGLT00466","FA004060","74674.2"
"RGLT00467","FA011406","74199.9"
"RGLT00468","FA014435","4228"
"RGLT00469","FA016483","52416"
"RGLT00470","FA009083","19890"
"RGLT00471","FA014995","94533.6"
"RGLT00472","FA016471","23016.2"
"RGLT00473","FA002214","22516"
"RGLT00474","FA018076","104429.2"
"RGLT00475","FA003100","149779.4"
"RGLT00476","FA020233","16830"
"RGLT00477","FA012313","96601.5"
"RGLT00478","FA018453","42282.6"
"RGLT00479","FA015055","46771.2"
"RGLT00480","FA009565","6291"
"RGLT00481","FA007986","264580.9"
"RGLT00482","FA024587","134196.75"
"RGLT00483","FA007567","18684.6"
"RGLT00484","FA006351","48800"
"RGLT00485","FA004103","5552.4"
"RGLT00486","FA005749","16647.4"
"RGLT00487","FA020703","21655.2"
"RGLT00488","FA000555","46984"
"RGLT00489","FA006309","65475.6"
"RGLT00490","FA002272","7105"
"RGLT00491","FA003112","47841.9"
"RGLT00492","FA008603","114000"
"RGLT00493","FA021998","100556.45"
"RGLT00494","FA019498","92267.95"
"RGLT00495","FA012231","3093.6"
"RGLT00496","FA024733","25368"
"RGLT00497","FA022689","76667.85"
"RGLT00498","FA009020","17384.4"
"RGLT00499","FA023382","38848"
"RGLT00500","FA013628","60482.4"
"RGLT00501","FA025035","76023"
"RGLT00502","FA006887","111028.9"
"RGLT00503","FA013487","30064.65"
"RGLT00504","FA006379","60018"
"RGLT00505","FA002595","82114.2"
"RGLT00506","FA017998","181482"
"RGLT00507","FA020291","25158.65"
"RGLT00508","FA006401","6877.5"
"RGLT00509","FA006919","98727.95"
"RGLT00510","FA020614","9184"
"RGLT00511","FA014119","46413"
"RGLT00512","FA004864","41154.3"
"RGLT00513","FA012390","11412"
"RGLT00514","FA001761","23377.2"
"RGLT00515","FA011372","34933.6"
"RGLT00516","FA020077","9956.1"
"RGLT00517","FA003832","115737.6"
"RGLT00518","FA010148","126417.9"
"RGLT00519","FA018290","23448"
"RGLT00520","FA002917","65106.6"
"RGLT00521","FA015674","74701.2"
"RGLT00522","FA006284","48888"
"RGLT00523","FA014754","32707.5"
"RGLT00524","FA008693","59691.45"
"RGLT00525","FA011822","38161.2"
"RGLT00526","FA010624","126854"
"RGLT00527","FA016088","78246"
"RGLT00528","FA015747","22982.4"
"RGLT00529","FA008418","6329.4"
"RGLT00530","FA015305","56912.55"
"RGLT00531","FA015393","85634"
"RGLT00532","FA000449","63029.2"
"RGLT00533","FA008928","85500"
"RGLT00534","FA024948","8095.5"
"RGLT00535","FA012730","188350.8"
"RGLT00536","FA009187","58665.6"
"RGLT00537","FA018232","143799.1"
"RGLT00538","FA003279","27454.4"
"RGLT00539","FA013848","53293.8"
"RGLT00540","FA011179","92409.6"
"RGLT00541","FA019671","30220.05"
"RGLT00542","FA023277","49475.4"
"RGLT00543","FA024984","40216.8"
"RGLT00544","FA019772","150740.4"
"RGLT00545","FA020928","163440.55"
"RGLT00546","FA012797","116977.6"
"RGLT00547","FA015000","87271.8"
"RGLT00548","FA000020","13944"
"RGLT00549","FA005022","141626"
"RGLT00550","FA005207","86642.6"
"RGLT00551","FA001711","91362.9"
"RGLT00552","FA002865","45949"
"RGLT00553","FA001639","144099.2"
"RGLT00554","FA005983","44044"
"RGLT00555","FA023108","30852"
"RGLT00556","FA023962","94341.2"
"RGLT00557","FA011677","4774"
"RGLT00558","FA015428","35179.2"
"RGLT00559","FA016456","8801.8"
"RGLT00560","FA011813","34083"
"RGLT00561","FA007801","91248"
"RGLT00562","FA003075","75682.6"
"RGLT00563","FA022130","118987.9"
"RGLT00564","FA015359","28367"
"RGLT00565","FA003504","8162"
"RGLT00566","FA021480","140951"
"RGLT00567","FA002439","229373.25"
"RGLT00568","FA019903","68989.6"
"RGLT00569","FA001578","157308.8"
"RGLT00570","FA005033","81930.4"
"RGLT00571","FA021109","31168"
"RGLT00572","FA002780","36252.8"
"RGLT00573","FA002465","23528.4"
"RGLT00574","FA021618","79161.6"
"RGLT00575","FA005004","21520"
"RGLT00576","FA006443","74214"
"RGLT00577","FA021664","20100"
"RGLT00578","FA014504","69162.3"
"RGLT00579","FA000983","102906.9"
"RGLT00580","FA002942","88159.5"
"RGLT00581","FA008005","33841.5"
"RGLT00582","FA003551","138971.1"
"RGLT00583","FA005214","83811.2"
"RGLT00584","FA011347","27271.65"
"RGLT00585","FA001095","109771.2"
"RGLT00586","FA020375","46081.6"
"RGLT00587","FA004376","5511"
"RGLT00588","FA014543","52273.2"
"RGLT00589","FA021196","30927.3"
"RGLT00590","FA000976","35189"
"RGLT00591","FA002866","60255"
"RGLT00592","FA005500","109910"
"RGLT00593","FA020744","21068.4"
"RGLT00594","FA007464","135237.2"
"RGLT00595","FA017656","21740"
"RGLT00596","FA022122","84188"
"RGLT00597","FA017975","67232"
"RGLT00598","FA022880","114943.6"
"RGLT00599","FA007124","100012.8"
"RGLT00600","FA006985","44532"
"RGLT00601","FA013380","46318.8"
"RGLT00602","FA000624","63267.9"
"RGLT00603","FA008043","17280"
"RGLT00604","FA020649","13314"
"RGLT00605","FA014426","64632"
"RGLT00606","FA019462","29466"
"RGLT00607","FA004860","10563.2"
"RGLT00608","FA018519","46465.2"
"RGLT00609","FA007881","6888"
"RGLT00610","FA002859","5900.4"
"RGLT00611","FA009682","31769.1"
"RGLT00612","FA010493","97220.05"
"RGLT00613","FA014300","113272.95"
"RGLT00614","FA019293","106722"
"RGLT00615","FA020171","14028"
"RGLT00616","FA020925","20623"
"RGLT00617","FA001654","95193"
"RGLT00618","FA012624","23916.6"
"RGLT00619","FA008538","21538"
"RGLT00620","FA012250","10494"
"RGLT00621","FA005391","33992.5"
"RGLT00622","FA009167","37408.8"
"RGLT00623","FA009759","32964.8"
"RGLT00624","FA009796","8454"
"RGLT00625","FA017194","36676"
"RGLT00626","FA012471","66188.6"
"RGLT00627","FA011205","118964.5"
"RGLT00628","FA007120","49397.55"
"RGLT00629","FA016259","119860.35"
"RGLT00630","FA011707","74252.4"
"RGLT00631","FA016135","65509.8"
"RGLT00632","FA000595","127471.45"
"RGLT00633","FA024702","74970"
"RGLT00634","FA012583","97339.65"
"RGLT00635","FA009041","73167.6"
"RGLT00636","FA024998","76954.4"
"RGLT00637","FA011589","36469.95"
"RGLT00638","FA022248","55560.75"
"RGLT00639","FA002242","146723.6"
"RGLT00640","FA002001","17419.5"
"RGLT00641","FA005866","151593.1"
"RGLT00642","FA019389","29228.4"
"RGLT00643","FA006618","7843.5"
"RGLT00644","FA018859","15631"
"RGLT00645","FA008149","27691.2"
"RGLT00646","FA021423","111518.4"
"RGLT00647","FA009340","38209.5"
"RGLT00648","FA000365","267199.2"
"RGLT00649","FA000232","114741.5"
"RGLT00650","FA002223","87809.85"
"RGLT00651","FA001282","16806"
"RGLT00652","FA000442","25542.3"
"RGLT00653","FA014071","51789.6"
"RGLT00654","FA024256","12927.6"
"RGLT00655","FA005536","63575.4"
"RGLT00656","FA014889","64596.9"
"RGLT00657","FA020953","74033.7"
"RGLT00658","FA017807","66014.55"
"RGLT00659","FA015875","60578.1"
"RGLT00660","FA006659","59080.6"
"RGLT00661","FA024473","137412.8"
"RGLT00662","FA000701","86634"
"RGLT00663","FA006867","63091.5"
"RGLT00664","FA017018","21816"
"RGLT00665","FA019572","19272.45"
"RGLT00666","FA019917","210474.7"
"RGLT00667","FA003602","9157.05"
"RGLT00668","FA021028","10851.75"
"RGLT00669","FA018913","10785.6"
"RGLT00670","FA007885","212449.9"
"RGLT00671","FA005279","108171.8"
"RGLT00672","FA004827","35003.85"
"RGLT00673","FA022505","73163.2"
"RGLT00674","FA018231","17283"
"RGLT00675","FA019722","14905.8"
"RGLT00676","FA001374","42807.6"
"RGLT00677","FA016334","68775"
"RGLT00678","FA004981","13820.4"
"RGLT00679","FA001174","32536"
"RGLT00680","FA024831","10905"
"RGLT00681","FA013341","39712"
"RGLT00682","FA005810","110884.4"
"RGLT00683","FA002181","34748"
"RGLT00684","FA001003","17996"
"RGLT00685","FA002811","119889.6"
"RGLT00686","FA013660","21331.8"
"RGLT00687","FA008263","115826.8"
"RGLT00688","FA009094","17539.2"
"RGLT00689","FA012155","83697.6"
"RGLT00690","FA000676","111627.4"
"RGLT00691","FA024015","102124.7"
"RGLT00692","FA001547","13248"
"RGLT00693","FA003449","99828.25"
"RGLT00694","FA005986","105662.15"
"RGLT00695","FA001770","242300.9"
"RGLT00696","FA009788","132784.8"
"RGLT00697","FA021574","45227"
"RGLT00698","FA013697","62686.8"
"RGLT00699","FA016707","10257.6"
"RGLT00700","FA006085","1848"
"RGLT00701","FA001795","42084"
"RGLT00702","FA018753","10810.8"
"RGLT00703","FA021925","38636"
"RGLT00704","FA010074","98202.7"
"RGLT00705","FA007299","43060.8"
"RGLT00706","FA007687","12340.8"
"RGLT00707","FA011114","133644.1"
"RGLT00708","FA024317","122386"
"RGLT00709","FA017355","44137.8"
"RGLT00710","FA009371","161076.85"
"RGLT00711","FA004141","76992"
"RGLT00712","FA000580","71678.55"
"RGLT00713","FA014896","25348.05"
"RGLT00714","FA020229","58760.4"
"RGLT00715","FA010292","89418.35"
"RGLT00716","FA000402","27258"
"RGLT00717","FA006446","148147"
"RGLT00718","FA007220","49111.6"
"RGLT00719","FA006390","35562.7"
"RGLT00720","FA002987","61217"
"RGLT00721","FA022142","106623"
"RGLT00722","FA016395","38694.6"
"RGLT00723","FA007985","51310.8"
"RGLT00724","FA008420","90434"
"RGLT00725","FA004162","73076.4"
"RGLT00726","FA014694","47754.3"
"RGLT00727","FA017440","71106"
"RGLT00728","FA021864","23660.2"
"RGLT00729","FA014084","51765.6"
"RGLT00730","FA008631","48756.4"
"RGLT00731","FA023328","44337.6"
"RGLT00732","FA000311","56007"
"RGLT00733","FA011719","131244.6"
"RGLT00734","FA021807","48368.9"
"RGLT00735","FA017774","80409.6"
"RGLT00736","FA003395","70235"
"RGLT00737","FA018148","40830"
"RGLT00738","FA000671","33854.4"
"RGLT00739","FA012164","126289.2"
"RGLT00740","FA014100","19630.8"
"RGLT00741","FA006804","27202"
"RGLT00742","FA006586","84061.95"
"RGLT00743","FA006132","132802.8"
"RGLT00744","FA008432","33136.3"
"RGLT00745","FA020168","25029.4"
"RGLT00746","FA016621","111991.05"
"RGLT00747","FA017541","79249.2"
"RGLT00748","FA003790","17517"
"RGLT00749","FA005598","17812.8"
"RGLT00750","FA006837","10365.3"
"RGLT00751","FA004900","42391.2"
"RGLT00752","FA022334","33642"
"RGLT00753","FA010813","10419.2"
"RGLT00754","FA003172","71122.5"
"RGLT00755","FA021702","95315.4"
"RGLT00756","FA012172","94095.6"
