"ID_FACTURE","CD_PRESTATION","NB_QUANTITE_FACTURE","NB_PRIX_HT","NB_PRIX_TTC"
"FA006107","PS0017","17","3898","3898"
"FA003164","PS0137","1","2907","3052.35"
"FA000316","PS0179","14","3886","4274.6"
"FA018931","PS0013","9","3409","3409"
"FA013097","PS0182","1","4712","4947.6"
"FA022798","PS0091","20","4055","4460.5"
"FA019353","PS0115","13","4570","5027"
"FA004469","PS0099","18","3071","3224.55"
"FA012893","PS0125","18","1693","1777.65"
"FA000506","PS0189","5","1018","1018"
"FA016400","PS0179","13","3886","4274.6"
"FA002874","PS0055","7","3539","3539"
"FA002038","PS0193","20","4880","4880"
"FA012808","PS0117","7","4835","5802"
"FA007124","PS0012","8","3469","4162.8"
"FA019234","PS0094","7","2548","2802.8"
"FA009198","PS0034","11","2908","2908"
"FA011124","PS0040","3","1880","1974"
"FA007373","PS0104","2","3030","3636"
"FA012953","PS0146","4","1742","1742"
"FA014056","PS0186","16","3126","3438.6"
"FA010673","PS0012","14","3469","4162.8"
"FA023027","PS0036","3","3506","4207.2"
"FA000505","PS0055","18","3539","3539"
"FA019941","PS0172","18","583","583"
"FA017910","PS0152","7","1962","1962"
"FA023282","PS0112","8","2886","3463.2"
"FA016359","PS0073","17","1367","1435.35"
"FA005772","PS0179","14","3886","4274.6"
"FA002600","PS0152","14","1962","1962"
"FA019956","PS0015","13","4308","4738.8"
"FA018002","PS0084","5","1596","1675.8"
"FA008798","PS0066","18","2450","2450"
"FA018355","PS0086","7","4872","5846.4"
"FA011363","PS0199","18","1317","1580.4"
"FA021652","PS0021","4","1716","1801.8"
"FA005010","PS0021","14","1716","1801.8"
"FA021110","PS0100","15","1714","2056.8"
"FA018605","PS0172","15","583","583"
"FA013569","PS0007","7","2921","3213.1"
"FA007629","PS0090","19","2587","3104.4"
"FA024240","PS0192","16","3081","3389.1"
"FA017499","PS0029","16","4104","4309.2"
"FA007614","PS0147","3","1530","1530"
"FA005113","PS0030","17","3765","4141.5"
"FA021330","PS0146","10","1742","1742"
"FA011692","PS0186","18","3126","3438.6"
"FA016664","PS0115","5","4570","5027"
"FA006832","PS0058","19","3666","4399.2"
"FA022944","PS0071","19","1285","1349.25"
"FA010208","PS0122","6","1558","1635.9"
"FA025089","PS0174","17","1507","1582.35"
"FA010406","PS0105","18","2785","2924.25"
"FA013628","PS0111","5","3335","4002"
"FA008644","PS0136","16","3166","3482.6"
"FA009666","PS0008","4","2258","2258"
"FA015743","PS0094","18","2548","2802.8"
"FA014546","PS0076","11","4709","4709"
"FA017497","PS0101","1","4494","5392.8"
"FA011374","PS0041","5","830","871.5"
"FA004515","PS0167","4","2672","2805.6"
"FA013332","PS0051","15","1179","1414.8"
"FA022352","PS0164","9","1809","1809"
"FA025119","PS0149","16","1409","1409"
"FA022669","PS0139","13","3529","3705.45"
"FA004706","PS0010","9","4373","4591.65"
"FA010336","PS0191","19","1646","1728.3"
"FA016750","PS0175","12","2398","2877.6"
"FA024465","PS0039","12","737","773.85"
"FA006098","PS0031","4","3309","3474.45"
"FA020761","PS0113","9","1421","1421"
"FA021305","PS0150","7","3275","3438.75"
"FA018890","PS0055","12","3539","3539"
"FA004459","PS0113","2","1421","1421"
"FA022177","PS0047","6","1271","1334.55"
"FA012385","PS0047","9","1271","1334.55"
"FA015247","PS0194","20","4157","4572.7"
"FA020232","PS0162","1","2580","2838"
"FA019870","PS0093","13","2999","3148.95"
"FA010013","PS0101","9","4494","5392.8"
"FA015093","PS0102","15","1322","1388.1"
"FA025141","PS0093","19","2999","3148.95"
"FA004502","PS0093","8","2999","3148.95"
"FA014558","PS0083","9","4750","5700"
"FA017001","PS0167","11","2672","2805.6"
"FA009520","PS0010","4","4373","4591.65"
"FA009619","PS0059","8","4993","5242.65"
"FA016574","PS0177","5","1076","1076"
"FA000671","PS0015","3","4308","4738.8"
"FA012961","PS0094","8","2548","2802.8"
"FA019207","PS0171","20","1863","1956.15"
"FA009479","PS0045","8","3895","4674"
"FA015978","PS0155","12","2134","2347.4"
"FA021898","PS0149","4","1409","1409"
"FA003300","PS0099","8","3071","3224.55"
"FA006038","PS0059","20","4993","5242.65"
"FA001133","PS0073","13","1367","1435.35"
"FA015975","PS0015","5","4308","4738.8"
"FA009691","PS0170","15","3820","4202"
"FA012964","PS0077","16","4739","5212.9"
"FA010905","PS0006","3","2045","2249.5"
"FA008614","PS0172","5","583","583"
"FA018679","PS0136","19","3166","3482.6"
"FA010212","PS0099","11","3071","3224.55"
"FA017632","PS0119","11","831","914.1"
"FA015215","PS0031","20","3309","3474.45"
"FA022691","PS0190","14","822","863.1"
"FA009461","PS0097","7","3905","4686"
"FA013931","PS0137","15","2907","3052.35"
"FA014562","PS0014","4","3304","3469.2"
"FA023510","PS0138","6","2809","2949.45"
"FA006372","PS0083","8","4750","5700"
"FA013109","PS0139","2","3529","3705.45"
"FA004863","PS0033","5","1340","1340"
"FA016978","PS0152","5","1962","1962"
"FA019364","PS0186","15","3126","3438.6"
"FA015652","PS0183","4","4635","4635"
"FA017275","PS0134","14","2614","3136.8"
"FA012645","PS0036","5","3506","4207.2"
"FA011261","PS0057","10","2855","3140.5"
"FA023106","PS0013","8","3409","3409"
"FA008314","PS0003","16","710","852"
"FA009566","PS0173","10","4850","4850"
"FA003634","PS0009","11","1132","1358.4"
"FA011855","PS0141","8","3556","3733.8"
"FA021448","PS0147","14","1530","1530"
"FA018253","PS0008","14","2258","2258"
"FA018064","PS0116","16","4508","4958.8"
"FA005247","PS0189","8","1018","1018"
"FA017562","PS0006","3","2045","2249.5"
"FA004922","PS0048","14","2078","2493.6"
"FA023914","PS0083","7","4750","5700"
"FA020871","PS0010","9","4373","4591.65"
"FA023884","PS0055","20","3539","3539"
"FA013128","PS0085","18","871","914.55"
"FA014766","PS0091","11","4055","4460.5"
"FA005738","PS0017","8","3898","3898"
"FA002242","PS0162","11","2580","2838"
"FA006541","PS0190","13","822","863.1"
"FA024901","PS0162","9","2580","2838"
"FA001958","PS0021","18","1716","1801.8"
"FA018919","PS0171","6","1863","1956.15"
"FA023627","PS0095","17","3247","3247"
"FA012516","PS0046","13","4813","5775.6"
"FA025009","PS0178","5","2534","2660.7"
"FA021725","PS0126","5","4385","4385"
"FA018498","PS0126","1","4385","4385"
"FA012454","PS0111","8","3335","4002"
"FA008221","PS0108","15","2728","3000.8"
"FA021153","PS0092","5","1266","1266"
"FA022815","PS0028","2","2114","2114"
"FA010311","PS0135","16","3908","4689.6"
"FA012772","PS0195","15","2296","2296"
"FA011509","PS0099","4","3071","3224.55"
"FA009600","PS0118","3","3828","4210.8"
"FA000849","PS0173","12","4850","4850"
"FA024618","PS0137","12","2907","3052.35"
"FA010158","PS0151","9","4869","5355.9"
"FA014064","PS0164","17","1809","1809"
"FA007341","PS0184","5","1840","2208"
"FA010303","PS0165","10","862","905.1"
"FA006587","PS0105","13","2785","2924.25"
"FA009541","PS0060","3","2474","2968.8"
"FA005051","PS0055","9","3539","3539"
"FA016447","PS0162","4","2580","2838"
"FA006918","PS0050","4","2801","3361.2"
"FA023472","PS0073","11","1367","1435.35"
"FA019551","PS0174","15","1507","1582.35"
"FA017393","PS0078","8","3929","3929"
"FA005896","PS0013","18","3409","3409"
"FA025341","PS0008","1","2258","2258"
"FA010559","PS0145","14","2505","2755.5"
"FA018119","PS0090","19","2587","3104.4"
"FA001037","PS0065","20","3011","3011"
"FA023913","PS0143","5","4067","4473.7"
"FA006135","PS0121","16","4246","4458.3"
"FA012237","PS0106","7","2784","3340.8"
"FA001558","PS0196","19","3273","3927.6"
"FA009144","PS0060","5","2474","2968.8"
"FA008391","PS0170","17","3820","4202"
"FA024818","PS0013","4","3409","3409"
"FA000750","PS0044","9","894","983.4"
"FA001718","PS0158","18","4083","4083"
"FA022073","PS0170","19","3820","4202"
"FA018933","PS0095","19","3247","3247"
"FA010440","PS0009","3","1132","1358.4"
"FA008802","PS0196","15","3273","3927.6"
"FA009049","PS0146","14","1742","1742"
"FA018590","PS0192","9","3081","3389.1"
"FA020244","PS0167","6","2672","2805.6"
"FA021429","PS0139","11","3529","3705.45"
"FA017068","PS0059","11","4993","5242.65"
"FA007761","PS0025","6","4960","5208"
"FA008915","PS0177","17","1076","1076"
"FA021405","PS0071","13","1285","1349.25"
"FA004255","PS0047","10","1271","1334.55"
"FA016265","PS0124","18","2519","2519"
"FA019686","PS0004","2","4618","5541.6"
"FA008698","PS0189","16","1018","1018"
"FA021741","PS0058","7","3666","4399.2"
"FA023229","PS0001","1","2024","2125.2"
"FA005574","PS0122","15","1558","1635.9"
"FA017828","PS0179","10","3886","4274.6"
"FA018684","PS0167","15","2672","2805.6"
"FA013185","PS0046","15","4813","5775.6"
"FA018597","PS0178","20","2534","2660.7"
"FA005677","PS0104","14","3030","3636"
"FA008972","PS0163","19","1728","1728"
"FA016535","PS0105","9","2785","2924.25"
"FA000767","PS0184","20","1840","2208"
"FA001191","PS0069","4","873","960.3"
"FA011085","PS0013","19","3409","3409"
"FA024400","PS0052","7","3823","3823"
"FA010190","PS0198","20","3668","4401.6"
"FA018211","PS0103","4","1326","1458.6"
"FA016675","PS0198","4","3668","4401.6"
"FA014732","PS0006","12","2045","2249.5"
"FA019185","PS0011","9","4911","4911"
"FA022477","PS0002","6","1184","1302.4"
"FA018062","PS0064","1","2959","3254.9"
"FA016243","PS0087","17","2181","2181"
"FA010475","PS0117","14","4835","5802"
"FA019598","PS0032","14","1857","1949.85"
"FA017544","PS0146","13","1742","1742"
"FA017288","PS0161","13","2912","2912"
"FA021527","PS0136","2","3166","3482.6"
"FA023032","PS0120","16","4751","5701.2"
"FA004034","PS0178","12","2534","2660.7"
"FA024029","PS0015","20","4308","4738.8"
"FA014122","PS0144","4","613","613"
"FA025043","PS0061","4","1652","1817.2"
"FA020027","PS0111","19","3335","4002"
"FA013326","PS0004","8","4618","5541.6"
"FA007401","PS0186","6","3126","3438.6"
"FA011235","PS0020","14","4856","5341.6"
"FA001691","PS0171","17","1863","1956.15"
"FA013065","PS0040","14","1880","1974"
"FA024898","PS0197","15","3502","3852.2"
"FA011258","PS0073","13","1367","1435.35"
"FA016745","PS0058","14","3666","4399.2"
"FA018051","PS0199","3","1317","1580.4"
"FA006559","PS0152","5","1962","1962"
"FA012982","PS0154","5","699","699"
"FA004782","PS0132","8","3369","4042.8"
"FA004419","PS0034","7","2908","2908"
"FA021533","PS0111","14","3335","4002"
"FA000858","PS0197","20","3502","3852.2"
"FA016020","PS0038","14","3432","3432"
"FA012964","PS0121","14","4246","4458.3"
"FA004008","PS0091","17","4055","4460.5"
"FA015847","PS0175","7","2398","2877.6"
"FA004693","PS0093","15","2999","3148.95"
"FA024084","PS0048","9","2078","2493.6"
"FA008921","PS0032","14","1857","1949.85"
"FA024369","PS0101","8","4494","5392.8"
"FA003396","PS0005","19","1255","1255"
"FA015902","PS0195","10","2296","2296"
"FA010260","PS0150","2","3275","3438.75"
"FA022774","PS0060","11","2474","2968.8"
"FA017396","PS0021","16","1716","1801.8"
"FA006059","PS0006","5","2045","2249.5"
"FA022439","PS0025","10","4960","5208"
"FA004996","PS0085","18","871","914.55"
"FA020843","PS0002","9","1184","1302.4"
"FA012321","PS0156","3","1047","1151.7"
"FA016056","PS0042","8","3772","4526.4"
"FA005764","PS0156","8","1047","1151.7"
"FA020561","PS0029","11","4104","4309.2"
"FA011852","PS0109","16","924","924"
"FA004489","PS0167","18","2672","2805.6"
"FA019650","PS0182","18","4712","4947.6"
"FA000619","PS0047","1","1271","1334.55"
"FA009531","PS0061","13","1652","1817.2"
"FA012635","PS0018","3","4405","4845.5"
"FA020884","PS0172","20","583","583"
"FA004515","PS0070","8","1148","1148"
"FA017083","PS0091","2","4055","4460.5"
"FA007701","PS0088","14","1464","1610.4"
"FA008071","PS0117","11","4835","5802"
"FA007738","PS0031","18","3309","3474.45"
"FA005372","PS0021","10","1716","1801.8"
"FA017157","PS0011","6","4911","4911"
"FA012709","PS0160","20","1396","1535.6"
"FA011364","PS0121","17","4246","4458.3"
"FA017698","PS0061","16","1652","1817.2"
"FA012916","PS0181","2","1128","1353.6"
"FA015773","PS0025","4","4960","5208"
"FA004151","PS0164","11","1809","1809"
"FA016388","PS0130","12","2449","2693.9"
"FA006635","PS0152","5","1962","1962"
"FA016183","PS0177","10","1076","1076"
"FA002644","PS0047","4","1271","1334.55"
"FA009700","PS0020","10","4856","5341.6"
"FA020401","PS0098","12","3639","3820.95"
"FA011428","PS0106","4","2784","3340.8"
"FA020595","PS0162","18","2580","2838"
"FA004893","PS0098","9","3639","3820.95"
"FA020891","PS0109","19","924","924"
"FA011942","PS0172","1","583","583"
"FA006782","PS0120","5","4751","5701.2"
"FA014892","PS0012","1","3469","4162.8"
"FA009441","PS0112","2","2886","3463.2"
"FA002753","PS0060","11","2474","2968.8"
"FA010991","PS0049","15","2162","2378.2"
"FA005361","PS0009","4","1132","1358.4"
"FA016100","PS0145","8","2505","2755.5"
"FA019161","PS0160","4","1396","1535.6"
"FA009647","PS0064","20","2959","3254.9"
"FA003275","PS0160","18","1396","1535.6"
"FA020812","PS0107","1","2693","3231.6"
"FA013231","PS0071","18","1285","1349.25"
"FA009248","PS0027","13","1108","1329.6"
"FA004319","PS0159","13","1547","1624.35"
"FA012318","PS0027","2","1108","1329.6"
"FA024376","PS0043","15","1449","1521.45"
"FA021115","PS0071","5","1285","1349.25"
"FA012409","PS0059","16","4993","5242.65"
"FA006512","PS0087","5","2181","2181"
"FA007220","PS0063","18","1391","1669.2"
"FA008696","PS0066","2","2450","2450"
"FA009720","PS0036","16","3506","4207.2"
"FA023734","PS0093","18","2999","3148.95"
"FA014444","PS0155","19","2134","2347.4"
"FA019500","PS0159","13","1547","1624.35"
"FA004144","PS0094","17","2548","2802.8"
"FA015333","PS0146","4","1742","1742"
"FA005516","PS0021","5","1716","1801.8"
"FA021430","PS0148","10","3503","3678.15"
"FA001019","PS0089","8","3356","3356"
"FA010904","PS0011","18","4911","4911"
"FA023867","PS0129","9","548","575.4"
"FA010500","PS0062","10","2182","2291.1"
"FA006118","PS0119","19","831","914.1"
"FA024134","PS0002","12","1184","1302.4"
"FA008416","PS0066","14","2450","2450"
"FA004407","PS0035","2","3653","4383.6"
"FA013462","PS0164","11","1809","1809"
"FA021790","PS0023","10","3479","3479"
"FA010795","PS0030","14","3765","4141.5"
"FA016802","PS0012","3","3469","4162.8"
"FA022355","PS0122","8","1558","1635.9"
"FA024608","PS0008","3","2258","2258"
"FA011144","PS0061","2","1652","1817.2"
"FA010173","PS0008","17","2258","2258"
"FA004394","PS0077","10","4739","5212.9"
"FA002542","PS0197","12","3502","3852.2"
"FA014373","PS0095","3","3247","3247"
"FA016072","PS0001","16","2024","2125.2"
"FA010134","PS0043","8","1449","1521.45"
"FA004345","PS0109","5","924","924"
"FA014877","PS0080","15","2482","2482"
"FA012795","PS0073","5","1367","1435.35"
"FA009757","PS0010","13","4373","4591.65"
"FA008969","PS0129","17","548","575.4"
"FA017804","PS0025","10","4960","5208"
"FA015212","PS0161","19","2912","2912"
"FA012548","PS0195","14","2296","2296"
"FA006708","PS0075","16","3943","4140.15"
"FA024376","PS0059","20","4993","5242.65"
"FA020937","PS0020","20","4856","5341.6"
"FA010969","PS0049","19","2162","2378.2"
"FA020338","PS0021","20","1716","1801.8"
"FA019455","PS0067","13","1824","1915.2"
"FA019348","PS0107","7","2693","3231.6"
"FA019637","PS0132","2","3369","4042.8"
"FA021675","PS0155","18","2134","2347.4"
"FA004637","PS0157","12","596","596"
"FA007148","PS0101","4","4494","5392.8"
"FA007131","PS0117","6","4835","5802"
"FA009158","PS0101","7","4494","5392.8"
"FA019844","PS0082","11","4269","4695.9"
"FA015199","PS0037","17","4777","5015.85"
"FA005551","PS0063","12","1391","1669.2"
"FA024260","PS0063","14","1391","1669.2"
"FA018246","PS0033","15","1340","1340"
"FA016303","PS0148","2","3503","3678.15"
"FA004678","PS0177","2","1076","1076"
"FA024853","PS0148","1","3503","3678.15"
"FA002876","PS0138","18","2809","2949.45"
"FA007341","PS0120","4","4751","5701.2"
"FA009336","PS0005","9","1255","1255"
"FA016036","PS0032","3","1857","1949.85"
"FA024853","PS0015","8","4308","4738.8"
"FA019879","PS0135","12","3908","4689.6"
"FA024130","PS0031","8","3309","3474.45"
"FA013748","PS0014","1","3304","3469.2"
"FA024875","PS0151","14","4869","5355.9"
"FA005017","PS0122","14","1558","1635.9"
"FA018323","PS0087","16","2181","2181"
"FA019489","PS0045","8","3895","4674"
"FA011553","PS0049","3","2162","2378.2"
"FA015901","PS0052","1","3823","3823"
"FA003143","PS0074","11","1493","1493"
"FA015973","PS0186","18","3126","3438.6"
"FA010810","PS0077","19","4739","5212.9"
"FA024135","PS0103","19","1326","1458.6"
"FA025214","PS0129","18","548","575.4"
"FA015806","PS0054","10","798","877.8"
"FA004795","PS0157","3","596","596"
"FA009969","PS0003","4","710","852"
"FA013259","PS0179","11","3886","4274.6"
"FA015566","PS0088","6","1464","1610.4"
"FA014798","PS0166","13","2363","2481.15"
"FA014071","PS0098","8","3639","3820.95"
"FA010040","PS0005","16","1255","1255"
"FA020756","PS0001","15","2024","2125.2"
"FA012415","PS0187","4","3333","3499.65"
"FA023662","PS0140","7","4874","4874"
"FA020556","PS0139","11","3529","3705.45"
"FA019368","PS0164","5","1809","1809"
"FA004154","PS0075","14","3943","4140.15"
"FA013828","PS0044","19","894","983.4"
"FA020252","PS0087","10","2181","2181"
"FA023290","PS0052","12","3823","3823"
"FA023323","PS0137","11","2907","3052.35"
"FA018506","PS0058","16","3666","4399.2"
"FA005949","PS0047","2","1271","1334.55"
"FA010276","PS0029","12","4104","4309.2"
"FA023426","PS0004","20","4618","5541.6"
"FA004515","PS0024","9","4289","5146.8"
"FA007903","PS0056","8","3253","3578.3"
"FA005998","PS0195","8","2296","2296"
"FA020366","PS0076","12","4709","4709"
"FA014153","PS0190","10","822","863.1"
"FA021352","PS0077","5","4739","5212.9"
"FA025469","PS0033","11","1340","1340"
"FA012197","PS0168","9","2550","2677.5"
"FA002609","PS0095","18","3247","3247"
"FA018378","PS0164","16","1809","1809"
"FA018552","PS0085","10","871","914.55"
"FA025218","PS0094","7","2548","2802.8"
"FA020584","PS0079","7","1943","1943"
"FA009932","PS0101","9","4494","5392.8"
"FA005741","PS0081","7","3916","4307.6"
"FA023477","PS0066","13","2450","2450"
"FA018002","PS0096","15","2802","2942.1"
"FA007157","PS0136","4","3166","3482.6"
"FA005397","PS0050","8","2801","3361.2"
"FA008610","PS0006","5","2045","2249.5"
"FA008667","PS0043","13","1449","1521.45"
"FA007160","PS0080","18","2482","2482"
"FA016319","PS0176","9","1902","1902"
"FA003849","PS0106","19","2784","3340.8"
"FA000732","PS0196","10","3273","3927.6"
"FA016022","PS0067","7","1824","1915.2"
"FA005602","PS0077","2","4739","5212.9"
"FA008444","PS0104","11","3030","3636"
"FA020847","PS0117","20","4835","5802"
"FA001959","PS0169","2","2716","3259.2"
"FA009982","PS0166","13","2363","2481.15"
"FA019997","PS0129","10","548","575.4"
"FA014589","PS0071","18","1285","1349.25"
"FA012500","PS0022","19","3106","3106"
"FA019977","PS0130","12","2449","2693.9"
"FA016116","PS0143","4","4067","4473.7"
"FA000714","PS0196","12","3273","3927.6"
"FA010297","PS0074","11","1493","1493"
"FA016858","PS0109","18","924","924"
"FA004841","PS0092","1","1266","1266"
"FA011184","PS0008","20","2258","2258"
"FA021809","PS0025","10","4960","5208"
"FA011841","PS0164","6","1809","1809"
"FA018236","PS0087","14","2181","2181"
"FA006812","PS0185","11","2944","3091.2"
"FA005467","PS0137","9","2907","3052.35"
"FA022954","PS0100","14","1714","2056.8"
"FA005248","PS0059","8","4993","5242.65"
"FA023878","PS0154","15","699","699"
"FA024556","PS0029","18","4104","4309.2"
"FA016984","PS0069","17","873","960.3"
"FA007474","PS0071","20","1285","1349.25"
"FA020502","PS0033","9","1340","1340"
"FA007182","PS0157","14","596","596"
"FA014283","PS0142","13","1183","1242.15"
"FA007854","PS0181","3","1128","1353.6"
"FA014774","PS0005","5","1255","1255"
"FA023020","PS0179","17","3886","4274.6"
"FA004843","PS0076","15","4709","4709"
"FA009756","PS0034","11","2908","2908"
"FA010623","PS0049","2","2162","2378.2"
"FA013204","PS0151","9","4869","5355.9"
"FA005714","PS0111","7","3335","4002"
"FA019566","PS0032","3","1857","1949.85"
"FA025192","PS0061","1","1652","1817.2"
"FA009417","PS0118","18","3828","4210.8"
"FA008931","PS0084","9","1596","1675.8"
"FA013411","PS0103","7","1326","1458.6"
"FA006358","PS0163","20","1728","1728"
"FA018954","PS0180","19","2164","2272.2"
"FA024140","PS0091","12","4055","4460.5"
"FA011057","PS0091","14","4055","4460.5"
"FA021278","PS0180","13","2164","2272.2"
"FA005915","PS0071","16","1285","1349.25"
"FA008367","PS0118","6","3828","4210.8"
"FA010780","PS0113","7","1421","1421"
"FA008571","PS0072","7","4112","4523.2"
"FA005924","PS0118","6","3828","4210.8"
"FA007486","PS0148","15","3503","3678.15"
"FA014906","PS0106","8","2784","3340.8"
"FA025331","PS0078","14","3929","3929"
"FA022788","PS0186","12","3126","3438.6"
"FA017289","PS0077","18","4739","5212.9"
"FA012746","PS0125","18","1693","1777.65"
"FA017619","PS0073","4","1367","1435.35"
"FA024868","PS0033","16","1340","1340"
"FA006460","PS0107","5","2693","3231.6"
"FA007702","PS0147","3","1530","1530"
"FA012651","PS0036","18","3506","4207.2"
"FA019555","PS0162","3","2580","2838"
"FA009586","PS0062","1","2182","2291.1"
"FA004633","PS0056","19","3253","3578.3"
"FA024854","PS0135","14","3908","4689.6"
"FA014205","PS0101","7","4494","5392.8"
"FA017007","PS0052","14","3823","3823"
"FA009538","PS0107","9","2693","3231.6"
"FA006999","PS0086","4","4872","5846.4"
"FA018042","PS0137","7","2907","3052.35"
"FA012935","PS0037","7","4777","5015.85"
"FA025144","PS0003","17","710","852"
"FA001406","PS0093","10","2999","3148.95"
"FA023570","PS0115","14","4570","5027"
"FA008151","PS0124","4","2519","2519"
"FA013057","PS0084","16","1596","1675.8"
"FA001323","PS0023","2","3479","3479"
"FA011117","PS0144","8","613","613"
"FA022838","PS0008","17","2258","2258"
"FA020203","PS0030","9","3765","4141.5"
"FA018235","PS0199","7","1317","1580.4"
"FA015580","PS0133","1","1869","2242.8"
"FA024280","PS0032","14","1857","1949.85"
"FA020681","PS0167","2","2672","2805.6"
"FA017654","PS0008","19","2258","2258"
"FA016250","PS0126","20","4385","4385"
"FA022101","PS0132","10","3369","4042.8"
"FA018217","PS0107","11","2693","3231.6"
"FA019110","PS0140","11","4874","4874"
"FA000185","PS0025","20","4960","5208"
"FA021235","PS0105","16","2785","2924.25"
"FA014689","PS0181","1","1128","1353.6"
"FA013797","PS0044","15","894","983.4"
"FA014169","PS0150","19","3275","3438.75"
"FA004589","PS0074","6","1493","1493"
"FA022027","PS0190","3","822","863.1"
"FA018929","PS0073","13","1367","1435.35"
"FA008490","PS0138","19","2809","2949.45"
"FA018879","PS0148","5","3503","3678.15"
"FA016126","PS0097","12","3905","4686"
"FA005323","PS0099","13","3071","3224.55"
"FA008199","PS0073","10","1367","1435.35"
"FA000673","PS0155","8","2134","2347.4"
"FA022067","PS0096","6","2802","2942.1"
"FA004540","PS0077","19","4739","5212.9"
"FA025303","PS0067","17","1824","1915.2"
"FA010783","PS0170","2","3820","4202"
"FA014688","PS0091","6","4055","4460.5"
"FA000481","PS0177","10","1076","1076"
"FA014941","PS0008","8","2258","2258"
"FA006413","PS0146","8","1742","1742"
"FA012667","PS0145","11","2505","2755.5"
"FA017587","PS0124","14","2519","2519"
"FA009742","PS0037","13","4777","5015.85"
"FA015070","PS0191","11","1646","1728.3"
"FA021753","PS0100","18","1714","2056.8"
"FA022113","PS0131","17","4193","5031.6"
"FA012052","PS0021","20","1716","1801.8"
"FA012345","PS0064","2","2959","3254.9"
"FA005288","PS0112","12","2886","3463.2"
"FA011176","PS0173","20","4850","4850"
"FA012214","PS0124","2","2519","2519"
"FA023149","PS0149","14","1409","1409"
"FA002690","PS0071","3","1285","1349.25"
"FA010684","PS0118","12","3828","4210.8"
"FA020823","PS0004","1","4618","5541.6"
"FA025023","PS0117","4","4835","5802"
"FA025464","PS0086","16","4872","5846.4"
"FA009384","PS0182","15","4712","4947.6"
"FA009637","PS0174","15","1507","1582.35"
"FA018254","PS0097","6","3905","4686"
"FA008053","PS0097","14","3905","4686"
"FA018945","PS0125","20","1693","1777.65"
"FA007611","PS0082","7","4269","4695.9"
"FA007070","PS0092","5","1266","1266"
"FA017938","PS0074","3","1493","1493"
"FA019167","PS0129","20","548","575.4"
"FA012178","PS0064","13","2959","3254.9"
"FA014571","PS0132","20","3369","4042.8"
"FA019456","PS0160","11","1396","1535.6"
"FA011205","PS0200","1","2860","3146"
"FA019035","PS0029","12","4104","4309.2"
"FA020577","PS0131","3","4193","5031.6"
