"ID_REGLEMENT","DT_REGLEMENT","CD_TYPE_REGLEMENT"
"RGLT00301","2023-01-25","TR02"
"RGLT00302","2023-02-01","TR01"
"RGLT00303","2023-02-21","TR03"
"RGLT00304","2023-02-17","TR02"
"RGLT00305","2023-02-05","TR03"
"RGLT00306","2023-02-01","TR03"
"RGLT00307","2023-02-01","TR01"
"RGLT00308","2023-02-19","TR03"
"RGLT00309","2023-02-01","TR03"
"RGLT00310","2023-01-31","TR02"
"RGLT00311","2023-02-20","TR03"
"RGLT00312","2023-02-10","TR01"
"RGLT00313","2023-01-26","TR01"
"RGLT00314","2023-01-31","TR03"
"RGLT00315","2023-02-05","TR03"
"RGLT00316","2023-02-04","TR03"
"RGLT00317","2023-02-05","TR01"
"RGLT00318","2023-01-26","TR01"
"RGLT00319","2023-02-01","TR03"
"RGLT00320","2023-01-23","TR02"
"RGLT00321","2023-02-06","TR02"
"RGLT00322","2023-02-12","TR03"
"RGLT00323","2023-02-05","TR03"
"RGLT00324","2023-02-02","TR02"
"RGLT00325","2023-02-21","TR02"
"RGLT00326","2023-02-02","TR03"
"RGLT00327","2023-01-27","TR01"
"RGLT00328","2023-01-27","TR01"
"RGLT00329","2023-02-04","TR02"
"RGLT00330","2023-02-13","TR03"
"RGLT00331","2023-01-29","TR02"
"RGLT00332","2023-02-10","TR01"
"RGLT00333","2023-02-13","TR01"
"RGLT00334","2023-01-26","TR03"
"RGLT00335","2023-02-07","TR02"
"RGLT00336","2023-02-02","TR02"
"RGLT00337","2023-02-17","TR03"
"RGLT00338","2023-01-24","TR03"
"RGLT00339","2023-02-16","TR02"
"RGLT00340","2023-01-25","TR02"
"RGLT00341","2023-02-19","TR02"
"RGLT00342","2023-02-17","TR03"
"RGLT00343","2023-01-30","TR01"
"RGLT00344","2023-01-30","TR03"
"RGLT00345","2023-02-12","TR02"
"RGLT00346","2023-02-11","TR03"
"RGLT00347","2023-01-28","TR02"
"RGLT00348","2023-01-26","TR03"
"RGLT00349","2023-02-01","TR03"
"RGLT00350","2023-01-28","TR03"
"RGLT00351","2023-02-15","TR02"
"RGLT00352","2023-02-22","TR02"
"RGLT00353","2023-01-30","TR03"
"RGLT00354","2023-01-26","TR02"
"RGLT00355","2023-02-04","TR01"
"RGLT00356","2023-01-29","TR02"
"RGLT00357","2023-01-25","TR02"
"RGLT00358","2023-02-02","TR01"
"RGLT00359","2023-02-12","TR01"
"RGLT00360","2023-02-01","TR03"
"RGLT00361","2023-02-14","TR01"
"RGLT00362","2023-01-27","TR01"
"RGLT00363","2023-02-22","TR03"
"RGLT00364","2023-02-11","TR01"
"RGLT00365","2023-01-26","TR03"
"RGLT00366","2023-02-23","TR01"
"RGLT00367","2023-02-07","TR02"
"RGLT00368","2023-02-09","TR03"
"RGLT00369","2023-02-18","TR01"
"RGLT00370","2023-02-06","TR03"
"RGLT00371","2023-01-24","TR01"
"RGLT00372","2023-01-30","TR02"
"RGLT00373","2023-01-25","TR01"
"RGLT00374","2023-02-12","TR03"
"RGLT00375","2023-02-09","TR03"
"RGLT00376","2023-01-26","TR01"
"RGLT00377","2023-02-07","TR02"
"RGLT00378","2023-01-30","TR02"
"RGLT00379","2023-02-16","TR03"
"RGLT00380","2023-02-07","TR02"
"RGLT00381","2023-02-16","TR02"
"RGLT00382","2023-01-28","TR02"
"RGLT00383","2023-02-21","TR03"
"RGLT00384","2023-02-18","TR03"
"RGLT00385","2023-02-13","TR03"
"RGLT00386","2023-01-26","TR03"
"RGLT00387","2023-01-30","TR01"
"RGLT00388","2023-02-17","TR03"
"RGLT00389","2023-01-25","TR03"
"RGLT00390","2023-01-30","TR01"
"RGLT00391","2023-02-23","TR02"
"RGLT00392","2023-02-12","TR03"
"RGLT00393","2023-01-24","TR03"
"RGLT00394","2023-02-22","TR01"
"RGLT00395","2023-02-07","TR03"
"RGLT00396","2023-02-20","TR01"
"RGLT00397","2023-02-18","TR02"
"RGLT00398","2023-02-09","TR01"
"RGLT00399","2023-02-15","TR03"
"RGLT00400","2023-02-23","TR03"
"RGLT00401","2023-02-17","TR02"
"RGLT00402","2023-02-03","TR02"
"RGLT00403","2023-02-21","TR02"
"RGLT00404","2023-02-10","TR03"
"RGLT00405","2023-01-24","TR01"
"RGLT00406","2023-02-23","TR01"
"RGLT00407","2023-02-04","TR03"
"RGLT00408","2023-02-09","TR03"
"RGLT00409","2023-02-05","TR03"
"RGLT00410","2023-01-31","TR01"
"RGLT00411","2023-01-30","TR02"
"RGLT00412","2023-02-09","TR01"
"RGLT00413","2023-02-15","TR02"
"RGLT00414","2023-01-25","TR01"
"RGLT00415","2023-02-01","TR03"
"RGLT00416","2023-02-13","TR03"
"RGLT00417","2023-02-05","TR03"
"RGLT00418","2023-02-16","TR03"
"RGLT00419","2023-02-18","TR02"
"RGLT00420","2023-02-01","TR01"
"RGLT00421","2023-02-01","TR02"
"RGLT00422","2023-02-13","TR03"
"RGLT00423","2023-02-06","TR02"
"RGLT00424","2023-02-18","TR01"
"RGLT00425","2023-02-20","TR01"
"RGLT00426","2023-02-21","TR02"
"RGLT00427","2023-02-08","TR02"
"RGLT00428","2023-02-18","TR01"
"RGLT00429","2023-01-30","TR01"
"RGLT00430","2023-02-15","TR01"
"RGLT00431","2023-02-05","TR02"
"RGLT00432","2023-02-20","TR02"
"RGLT00433","2023-02-18","TR02"
"RGLT00434","2023-01-25","TR03"
"RGLT00435","2023-01-28","TR03"
"RGLT00436","2023-02-11","TR01"
"RGLT00437","2023-01-30","TR01"
"RGLT00438","2023-02-10","TR03"
"RGLT00439","2023-02-13","TR02"
"RGLT00440","2023-01-31","TR03"
"RGLT00441","2023-02-20","TR03"
"RGLT00442","2023-02-21","TR02"
"RGLT00443","2023-02-14","TR02"
"RGLT00444","2023-02-04","TR02"
"RGLT00445","2023-02-16","TR03"
"RGLT00446","2023-02-18","TR02"
"RGLT00447","2023-02-09","TR03"
"RGLT00448","2023-02-16","TR02"
"RGLT00449","2023-02-02","TR01"
"RGLT00450","2023-02-18","TR02"
"RGLT00451","2023-02-24","TR02"
"RGLT00452","2023-02-07","TR02"
"RGLT00453","2023-02-14","TR02"
"RGLT00454","2023-02-23","TR02"
"RGLT00455","2023-02-04","TR03"
"RGLT00456","2023-01-28","TR01"
"RGLT00457","2023-02-21","TR01"
"RGLT00458","2023-02-14","TR01"
"RGLT00459","2023-01-29","TR02"
"RGLT00460","2023-02-03","TR03"
"RGLT00461","2023-02-09","TR02"
"RGLT00462","2023-02-09","TR03"
"RGLT00463","2023-01-25","TR03"
"RGLT00464","2023-02-21","TR03"
"RGLT00465","2023-02-14","TR02"
"RGLT00466","2023-02-01","TR01"
"RGLT00467","2023-02-18","TR03"
"RGLT00468","2023-02-17","TR03"
"RGLT00469","2023-02-03","TR03"
"RGLT00470","2023-02-07","TR02"
"RGLT00471","2023-02-19","TR01"
"RGLT00472","2023-02-19","TR01"
"RGLT00473","2023-01-26","TR03"
"RGLT00474","2023-02-18","TR02"
"RGLT00475","2023-01-31","TR03"
"RGLT00476","2023-01-31","TR02"
"RGLT00477","2023-02-10","TR01"
"RGLT00478","2023-02-09","TR03"
"RGLT00479","2023-02-17","TR03"
"RGLT00480","2023-01-29","TR01"
"RGLT00481","2023-02-23","TR02"
"RGLT00482","2023-02-17","TR02"
"RGLT00483","2023-01-28","TR02"
"RGLT00484","2023-01-30","TR03"
"RGLT00485","2023-02-24","TR01"
"RGLT00486","2023-02-06","TR03"
"RGLT00487","2023-01-27","TR03"
"RGLT00488","2023-02-10","TR02"
"RGLT00489","2023-02-15","TR03"
"RGLT00490","2023-01-27","TR02"
"RGLT00491","2023-02-25","TR02"
"RGLT00492","2023-02-09","TR01"
"RGLT00493","2023-02-13","TR03"
"RGLT00494","2023-02-08","TR02"
"RGLT00495","2023-01-26","TR02"
"RGLT00496","2023-02-09","TR02"
"RGLT00497","2023-02-11","TR02"
"RGLT00498","2023-02-12","TR01"
"RGLT00499","2023-02-04","TR01"
"RGLT00500","2023-02-02","TR02"
"RGLT00501","2023-01-30","TR01"
"RGLT00502","2023-01-29","TR02"
"RGLT00503","2023-02-20","TR02"
"RGLT00504","2023-02-25","TR01"
"RGLT00505","2023-02-19","TR01"
"RGLT00506","2023-02-09","TR01"
"RGLT00507","2023-02-03","TR01"
"RGLT00508","2023-01-26","TR02"
"RGLT00509","2023-01-31","TR03"
"RGLT00510","2023-02-16","TR03"
"RGLT00511","2023-02-09","TR01"
"RGLT00512","2023-02-25","TR01"
"RGLT00513","2023-02-13","TR02"
"RGLT00514","2023-02-07","TR02"
"RGLT00515","2023-02-20","TR02"
"RGLT00516","2023-02-20","TR03"
"RGLT00517","2023-02-05","TR01"
"RGLT00518","2023-01-30","TR03"
"RGLT00519","2023-02-07","TR01"
"RGLT00520","2023-02-15","TR02"
"RGLT00521","2023-02-17","TR03"
"RGLT00522","2023-02-22","TR03"
"RGLT00523","2023-02-11","TR03"
"RGLT00524","2023-02-01","TR01"
"RGLT00525","2023-02-19","TR03"
"RGLT00526","2023-02-26","TR02"
"RGLT00527","2023-02-17","TR03"
"RGLT00528","2023-02-24","TR03"
"RGLT00529","2023-02-20","TR02"
"RGLT00530","2023-02-07","TR03"
"RGLT00531","2023-01-31","TR02"
"RGLT00532","2023-02-23","TR02"
"RGLT00533","2023-02-15","TR02"
"RGLT00534","2023-02-13","TR02"
"RGLT00535","2023-02-11","TR01"
"RGLT00536","2023-02-12","TR01"
"RGLT00537","2023-02-02","TR01"
"RGLT00538","2023-01-29","TR02"
"RGLT00539","2023-02-07","TR02"
"RGLT00540","2023-02-13","TR03"
"RGLT00541","2023-02-19","TR01"
"RGLT00542","2023-02-02","TR01"
"RGLT00543","2023-02-15","TR01"
"RGLT00544","2023-01-31","TR02"
"RGLT00545","2023-02-13","TR02"
"RGLT00546","2023-02-11","TR03"
"RGLT00547","2023-02-06","TR01"
"RGLT00548","2023-02-17","TR01"
"RGLT00549","2023-01-31","TR01"
"RGLT00550","2023-02-17","TR02"
"RGLT00551","2023-02-01","TR03"
"RGLT00552","2023-02-17","TR02"
"RGLT00553","2023-02-20","TR02"
"RGLT00554","2023-02-05","TR03"
"RGLT00555","2023-02-17","TR01"
"RGLT00556","2023-02-16","TR02"
"RGLT00557","2023-01-31","TR03"
"RGLT00558","2023-02-26","TR02"
"RGLT00559","2023-02-11","TR02"
"RGLT00560","2023-02-11","TR02"
"RGLT00561","2023-01-28","TR03"
"RGLT00562","2023-02-06","TR02"
"RGLT00563","2023-02-01","TR01"
"RGLT00564","2023-01-29","TR02"
"RGLT00565","2023-02-11","TR02"
"RGLT00566","2023-02-10","TR02"
"RGLT00567","2023-01-30","TR02"
"RGLT00568","2023-02-16","TR01"
"RGLT00569","2023-02-25","TR01"
"RGLT00570","2023-02-11","TR02"
"RGLT00571","2023-02-13","TR02"
"RGLT00572","2023-02-05","TR02"
"RGLT00573","2023-02-09","TR01"
"RGLT00574","2023-02-06","TR02"
"RGLT00575","2023-02-11","TR03"
"RGLT00576","2023-02-24","TR01"
"RGLT00577","2023-02-06","TR01"
"RGLT00578","2023-02-05","TR01"
"RGLT00579","2023-02-08","TR03"
"RGLT00580","2023-02-01","TR02"
"RGLT00581","2023-02-03","TR02"
"RGLT00582","2023-02-11","TR03"
"RGLT00583","2023-02-03","TR03"
"RGLT00584","2023-02-24","TR01"
"RGLT00585","2023-02-17","TR01"
"RGLT00586","2023-01-28","TR02"
"RGLT00587","2023-02-15","TR03"
"RGLT00588","2023-01-31","TR01"
"RGLT00589","2023-02-13","TR01"
"RGLT00590","2023-01-29","TR03"
"RGLT00591","2023-02-18","TR02"
"RGLT00592","2023-02-18","TR03"
"RGLT00593","2023-02-25","TR02"
"RGLT00594","2023-02-03","TR02"
"RGLT00595","2023-02-21","TR02"
"RGLT00596","2023-02-25","TR01"
"RGLT00597","2023-02-16","TR02"
"RGLT00598","2023-01-29","TR03"
"RGLT00599","2023-02-24","TR03"
"RGLT00600","2023-02-25","TR01"
"RGLT00601","2023-02-27","TR01"
"RGLT00602","2023-02-10","TR01"
"RGLT00603","2023-02-04","TR01"
"RGLT00604","2023-02-13","TR03"
"RGLT00605","2023-02-28","TR03"
"RGLT00606","2023-02-06","TR01"
"RGLT00607","2023-02-16","TR02"
"RGLT00608","2023-02-09","TR02"
"RGLT00609","2023-02-13","TR02"
"RGLT00610","2023-02-08","TR01"
"RGLT00611","2023-02-23","TR02"
"RGLT00612","2023-02-04","TR01"
"RGLT00613","2023-02-12","TR01"
"RGLT00614","2023-02-12","TR03"
"RGLT00615","2023-02-12","TR01"
"RGLT00616","2023-02-27","TR01"
"RGLT00617","2023-02-03","TR01"
"RGLT00618","2023-02-01","TR02"
"RGLT00619","2023-02-03","TR01"
"RGLT00620","2023-02-15","TR02"
"RGLT00621","2023-02-26","TR01"
"RGLT00622","2023-02-04","TR02"
"RGLT00623","2023-02-02","TR03"
"RGLT00624","2023-02-01","TR01"
"RGLT00625","2023-01-29","TR01"
"RGLT00626","2023-02-01","TR02"
"RGLT00627","2023-02-18","TR01"
"RGLT00628","2023-02-15","TR03"
"RGLT00629","2023-01-29","TR01"
"RGLT00630","2023-02-20","TR02"
"RGLT00631","2023-01-31","TR02"
"RGLT00632","2023-02-11","TR03"
"RGLT00633","2023-02-20","TR02"
"RGLT00634","2023-02-28","TR03"
"RGLT00635","2023-02-15","TR02"
"RGLT00636","2023-01-31","TR02"
"RGLT00637","2023-02-07","TR02"
"RGLT00638","2023-02-16","TR03"
"RGLT00639","2023-02-27","TR03"
"RGLT00640","2023-02-24","TR03"
"RGLT00641","2023-01-31","TR02"
"RGLT00642","2023-02-27","TR02"
"RGLT00643","2023-02-24","TR03"
"RGLT00644","2023-02-17","TR03"
"RGLT00645","2023-02-21","TR01"
"RGLT00646","2023-02-14","TR03"
"RGLT00647","2023-03-01","TR01"
"RGLT00648","2023-02-21","TR01"
"RGLT00649","2023-02-04","TR03"
"RGLT00650","2023-02-21","TR03"
"RGLT00651","2023-02-24","TR01"
"RGLT00652","2023-02-15","TR02"
"RGLT00653","2023-02-06","TR01"
"RGLT00654","2023-02-20","TR03"
"RGLT00655","2023-02-25","TR01"
"RGLT00656","2023-02-21","TR03"
"RGLT00657","2023-02-09","TR02"
"RGLT00658","2023-02-06","TR01"
"RGLT00659","2023-02-14","TR03"
"RGLT00660","2023-02-13","TR01"
"RGLT00661","2023-02-03","TR02"
"RGLT00662","2023-02-06","TR01"
"RGLT00663","2023-02-26","TR01"
"RGLT00664","2023-02-02","TR03"
"RGLT00665","2023-02-03","TR03"
"RGLT00666","2023-03-01","TR01"
"RGLT00667","2023-02-16","TR02"
"RGLT00668","2023-02-17","TR01"
"RGLT00669","2023-02-22","TR01"
"RGLT00670","2023-02-05","TR01"
"RGLT00671","2023-02-28","TR01"
"RGLT00672","2023-02-16","TR02"
"RGLT00673","2023-01-31","TR02"
"RGLT00674","2023-02-08","TR03"
"RGLT00675","2023-02-09","TR03"
"RGLT00676","2023-01-30","TR01"
"RGLT00677","2023-01-30","TR02"
"RGLT00678","2023-02-17","TR02"
"RGLT00679","2023-02-05","TR02"
"RGLT00680","2023-02-24","TR01"
"RGLT00681","2023-02-15","TR03"
"RGLT00682","2023-02-18","TR03"
"RGLT00683","2023-02-28","TR01"
"RGLT00684","2023-02-27","TR02"
"RGLT00685","2023-02-12","TR03"
"RGLT00686","2023-02-21","TR03"
"RGLT00687","2023-02-28","TR02"
"RGLT00688","2023-02-15","TR01"
"RGLT00689","2023-02-09","TR01"
"RGLT00690","2023-02-10","TR02"
"RGLT00691","2023-02-17","TR02"
"RGLT00692","2023-02-16","TR01"
"RGLT00693","2023-03-02","TR01"
"RGLT00694","2023-02-26","TR03"
"RGLT00695","2023-02-26","TR02"
"RGLT00696","2023-02-21","TR03"
